,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
70,Playstation 4 Pro GPU,AMD,Neo,"Nov 10th, 2016",IGP,"8 GB, GDDR5, 256 bit",911 MHz,1700 MHz,2304 / 144 / 32,End-of-life
71,Playstation 4 Slim GPU,AMD,Liverpool 16nm,"Sep 7th, 2016",IGP,"8 GB, GDDR5, 256 bit",800 MHz,1375 MHz,1152 / 72 / 32,End-of-life
72,Radeon Instinct MI8,AMD,Fiji,"Dec 12th, 2016",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1000 MHz,500 MHz,4096 / 256 / 64,End-of-life
73,Radeon Pro Duo,AMD,Capsaicin,"Apr 26th, 2016",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1000 MHz,500 MHz,4096 / 256 / 64,End-of-life
74,Radeon Pro V5300X,AMD,Baffin,Never Released,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1125 MHz,1500 MHz,1024 / 64 / 16,End-of-life
75,Radeon Pro V7300X,AMD,Ellesmere,Never Released,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1188 MHz,1750 MHz,2304 / 144 / 32,End-of-life
76,Radeon Pro V7350X2,AMD,Ellesmere,Never Released,PCIe 3.0 x16,"16 GB, GDDR5, 256 bit",1188 MHz,1750 MHz,2304 / 144 / 32,End-of-life
77,Radeon R1E Mobile Graphics,AMD,Beema,"Feb 23rd, 2016",IGP,System Shared,497 MHz,System Shared,64 / 8 / 4,End-of-life
78,Radeon R1E Mobile Graphics,AMD,Beema,"Feb 23rd, 2016",IGP,System Shared,497 MHz,System Shared,64 / 8 / 4,End-of-life
79,Radeon R1E Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,300 MHz,System Shared,64 / 8 / 4,End-of-life
80,Radeon R2 Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,128 / 8 / 4,End-of-life
81,Radeon R2E Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,128 / 8 / 4,End-of-life
82,Radeon R3 Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,128 / 8 / 4,End-of-life
83,Radeon R4 Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,192 / 12 / 8,End-of-life
84,Radeon R4E Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,400 MHz,System Shared,192 / 12 / 8,End-of-life
85,Radeon R5 430 OEM,AMD,Oland,"Jun 30th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1150 MHz,384 / 24 / 8,End-of-life
86,Radeon R5 435 OEM,AMD,Banks,"Jun 30th, 2016",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,1125 MHz,320 / 20 / 8,End-of-life
87,Radeon R5 M420,AMD,Jet,"May 15th, 2016",PCIe 3.0 x8,"4 GB, DDR3, 64 bit",780 MHz,1000 MHz,320 / 20 / 8,End-of-life
88,Radeon R5 M430,AMD,Jet,"May 15th, 2016",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",780 MHz,1125 MHz,320 / 20 / 8,End-of-life
89,Radeon R5 M430,AMD,Jet,2016,PCIe 3.0 x8,"4 GB, DDR3, 64 bit",780 MHz,1000 MHz,320 / 20 / 8,End-of-life
90,Radeon R5 M430,AMD,Exo,"May 15th, 2016",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,900 MHz,320 / 20 / 8,End-of-life
91,Radeon R5 M435,AMD,Jet,"May 15th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",780 MHz,1125 MHz,320 / 20 / 8,End-of-life
92,Radeon R5 M445,AMD,Meso,2016,PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",920 MHz,1000 MHz,384 / 24 / 8,End-of-life
93,Radeon R5 M465,AMD,Meso,2016,PCIe 3.0 x8,"4 GB, DDR3, 64 bit",1000 MHz,1000 MHz,384 / 24 / 8,End-of-life
94,Radeon R5 Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,192 / 12 / 8,End-of-life
95,Radeon R5E Mobile Graphics,AMD,Stoney,"Jun 1st, 2016",IGP,System Shared,200 MHz,System Shared,192 / 12 / 8,End-of-life
96,Radeon R6 M435DX,AMD,Jet,"Dec 12th, 2016",IGP,System Shared,955 MHz,System Shared,384 / 24 / 8,End-of-life
97,Radeon R6E Mobile Graphics,AMD,Wani,2016,IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,End-of-life
98,Radeon R7 350,AMD,Cape Verde,"Jul 6th, 2016",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,End-of-life
99,Radeon R7 430 OEM,AMD,Oland,"Jun 30th, 2016",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,384 / 24 / 8,End-of-life
100,Radeon R7 435 OEM,AMD,Oland,"Jun 30th, 2016",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",920 MHz,1000 MHz,320 / 20 / 8,End-of-life
101,Radeon R7 450 OEM,AMD,Cape Verde,"Jun 30th, 2016",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",925 MHz,1125 MHz,512 / 32 / 16,End-of-life
102,Radeon R7 M440,AMD,Meso,"May 15th, 2016",PCIe 3.0 x8,"4 GB, DDR3, 64 bit",891 MHz,900 MHz,320 / 20 / 8,End-of-life
103,Radeon R7 M445,AMD,Meso,"May 15th, 2016",PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",780 MHz,1000 MHz,320 / 20 / 8,End-of-life
104,Radeon R7 M460,AMD,Meso,"May 15th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384 / 24 / 8,End-of-life
105,Radeon R7 M465,AMD,Litho,"May 15th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8,End-of-life
106,Radeon R7 M465,AMD,Topaz,"May 15th, 2016",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384 / 24 / 8,End-of-life
107,Radeon R7 M465X,AMD,Tropo,"May 15th, 2016",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1125 MHz,512 / 32 / 16,End-of-life
108,Radeon R7E Mobile Graphics,AMD,Wani,2016,IGP,System Shared,200 MHz,System Shared,384 / 24 / 8,End-of-life
109,Radeon R8 M435DX,AMD,Jet,"Dec 12th, 2016",IGP,System Shared,955 MHz,System Shared,384 / 24 / 8,End-of-life
110,Radeon R8 M445DX,AMD,Meso,"May 15th, 2016",IGP,System Shared,780 MHz,System Shared,320 / 20 / 8,End-of-life
111,Radeon R9 M470,AMD,Emerald,"May 15th, 2016",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",900 MHz,1375 MHz,768 / 48 / 16,End-of-life
112,Radeon R9 M470X,AMD,Emerald,"May 15th, 2016",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",1000 MHz,1200 MHz,896 / 56 / 16,End-of-life
113,Radeon R9 M485X,AMD,Amethyst,"May 15th, 2016",MXM-B (3.0),"8 GB, GDDR5, 256 bit",723 MHz,1250 MHz,2048 / 128 / 32,End-of-life
114,Radeon RX 455 OEM,AMD,Tobago,"Jun 30th, 2016",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1050 MHz,1625 MHz,768 / 48 / 16,End-of-life
115,Xbox One S GPU,AMD,Durango 2,"Aug 2nd, 2016",IGP,"8 GB, DDR3, 256 bit",914 MHz,1066 MHz,768 / 48 / 16,End-of-life
116,FirePro M4170,AMD,Opal,"Apr 23rd, 2015",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8,End-of-life
117,FirePro S9170,AMD,Hawaii,"Jul 8th, 2015",PCIe 3.0 x16,"32 GB, GDDR5, 512 bit",930 MHz,1250 MHz,2816 / 176 / 64,End-of-life
118,FirePro W4130M,AMD,Mars,Unknown,PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",775 MHz,1000 MHz,384 / 24 / 8,End-of-life
119,FirePro W4150M,AMD,Mars,Unknown,PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,384 / 24 / 8,End-of-life
120,FirePro W4170M,AMD,Opal,"Apr 23rd, 2015",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8,End-of-life
121,FirePro W4190M,AMD,Opal,"Nov 12th, 2015",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",825 MHz,1000 MHz,384 / 24 / 8,End-of-life
122,FirePro W4300,AMD,Bonaire,"Dec 1st, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",930 MHz,1500 MHz,768 / 48 / 16,End-of-life
123,FirePro W5130M,AMD,Tropo,"Oct 2nd, 2015",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1000 MHz,512 / 32 / 16,End-of-life
124,FirePro W6150M,AMD,Emerald,"Nov 12th, 2015",MXM-B (3.0),"4 GB, GDDR5, 128 bit",1075 MHz,1375 MHz,768 / 48 / 16,End-of-life
125,FirePro W7170M,AMD,Amethyst,"Oct 2nd, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",723 MHz,1250 MHz,2048 / 128 / 32,End-of-life
