,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
314,Radeon HD 8400 IGP,AMD,Kalindi,"Nov 23rd, 2013",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4,End-of-life
315,Radeon HD 8400 Mobile IGP,AMD,Kalindi,"Nov 23rd, 2013",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4,End-of-life
316,Radeon HD 8400E,AMD,Kalindi,"Apr 23rd, 2013",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4,End-of-life
317,Radeon HD 8410G IGP,AMD,Scrapper,"May 23rd, 2013",IGP,System Shared,450 MHz,System Shared,192 / 12 / 4,End-of-life
318,Radeon HD 8450G IGP,AMD,Scrapper,"May 23rd, 2013",IGP,System Shared,533 MHz,System Shared,192 / 12 / 4,End-of-life
319,Radeon HD 8470D IGP,AMD,Scrapper,"Jul 29th, 2013",IGP,System Shared,800 MHz,System Shared,192 / 12 / 4,End-of-life
320,Radeon HD 8490 OEM,AMD,Caicos,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,End-of-life
321,Radeon HD 8510 OEM,AMD,Redwood,"Apr 24th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,400 / 20 / 8,End-of-life
322,Radeon HD 8510 OEM,AMD,Turks,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,End-of-life
323,Radeon HD 8510G IGP,AMD,Devastator,"May 23rd, 2013",IGP,System Shared,554 MHz,System Shared,384 / 24 / 8,End-of-life
324,Radeon HD 8550 OEM,AMD,Turks,"Oct 25th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,End-of-life
325,Radeon HD 8550D IGP,AMD,Scrapper,"May 23rd, 2013",IGP,System Shared,720 MHz,System Shared,256 / 16 / 8,End-of-life
326,Radeon HD 8550G IGP,AMD,Devastator Lite,"May 23rd, 2013",IGP,System Shared,515 MHz,System Shared,256 / 16 / 8,End-of-life
327,Radeon HD 8570 OEM Rebrand,AMD,Turks,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,End-of-life
328,Radeon HD 8570A,AMD,Sun,"Mar 1st, 2013",MXM-A (3.0),"1024 MB, DDR3, 64 bit",750 MHz,1000 MHz,320 / 20 / 8,End-of-life
329,Radeon HD 8570D IGP,AMD,Devastator Lite,"Jul 10th, 2013",IGP,System Shared,800 MHz,System Shared,256 / 16 / 8,End-of-life
330,Radeon HD 8570M,AMD,Sun,"Mar 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",750 MHz,1000 MHz,320 / 20 / 8,End-of-life
331,Radeon HD 8590M,AMD,Sun,"Mar 1st, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 64 bit",750 MHz,1125 MHz,320 / 20 / 8,End-of-life
332,Radeon HD 8610G IGP,AMD,Devastator,"May 23rd, 2013",IGP,System Shared,533 MHz,System Shared,384 / 24 / 8,End-of-life
333,Radeon HD 8650D IGP,AMD,Scrapper,"Dec 28th, 2013",IGP,System Shared,720 MHz,System Shared,384 / 24 / 8,End-of-life
334,Radeon HD 8650G IGP,AMD,Devastator,"May 23rd, 2013",IGP,System Shared,533 MHz,System Shared,384 / 24 / 8,End-of-life
335,Radeon HD 8670 OEM,AMD,Oland,"Jan 8th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1000 MHz,1150 MHz,384 / 24 / 8,End-of-life
336,Radeon HD 8670A,AMD,Sun,"Feb 2nd, 2013",MXM-A (3.0),"1024 MB, DDR3, 64 bit",600 MHz,1000 MHz,320 / 20 / 8,End-of-life
337,Radeon HD 8670A,AMD,Mars,"Feb 2nd, 2013",MXM-A (3.0),"1024 MB, DDR3, 64 bit",600 MHz,1000 MHz,384 / 24 / 8,End-of-life
338,Radeon HD 8670D IGP,AMD,Devastator,"Mar 12th, 2013",IGP,System Shared,844 MHz,System Shared,384 / 24 / 8,End-of-life
339,Radeon HD 8670M,AMD,Sun,"Mar 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",925 MHz,900 MHz,320 / 20 / 8,End-of-life
340,Radeon HD 8670M,AMD,Mars,"Mar 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,384 / 24 / 8,End-of-life
341,Radeon HD 8690M,AMD,Sun,"Mar 1st, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",925 MHz,1000 MHz,320 / 20 / 8,End-of-life
342,Radeon HD 8730 OEM,AMD,Cape Verde,"Sep 5th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,384 / 24 / 8,End-of-life
343,Radeon HD 8730A,AMD,Mars,"Apr 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 128 bit",650 MHz,1000 MHz,384 / 24 / 8,End-of-life
344,Radeon HD 8730M,AMD,Mars,"Apr 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",650 MHz,900 MHz,384 / 24 / 8,End-of-life
345,Radeon HD 8740 OEM,AMD,Cape Verde,"Sep 5th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,End-of-life
346,Radeon HD 8750A,AMD,Mars,"Feb 2nd, 2013",MXM-A (3.0),"1024 MB, DDR3, 64 bit",600 MHz,1000 MHz,384 / 24 / 8,End-of-life
347,Radeon HD 8750M,AMD,Mars,"Feb 26th, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 128 bit",775 MHz,900 MHz,384 / 24 / 8,End-of-life
348,Radeon HD 8750M,AMD,Mars,"Feb 26th, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",670 MHz,1000 MHz,384 / 24 / 8,End-of-life
349,Radeon HD 8770 OEM,AMD,Bonaire,"Sep 2nd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1050 MHz,1500 MHz,896 / 56 / 16,End-of-life
350,Radeon HD 8770M,AMD,Mars,"Apr 1st, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",775 MHz,1125 MHz,384 / 24 / 8,End-of-life
351,Radeon HD 8790M,AMD,Mars,"Apr 1st, 2013",MXM-A (3.0),"2 GB, GDDR5, 128 bit",850 MHz,1000 MHz,384 / 24 / 8,End-of-life
352,Radeon HD 8830M,AMD,Venus,"Apr 1st, 2013",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",575 MHz,1000 MHz,640 / 40 / 16,End-of-life
353,Radeon HD 8850M,AMD,Venus,"Apr 1st, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",575 MHz,1000 MHz,640 / 40 / 16,End-of-life
354,Radeon HD 8870M,AMD,Venus,"Apr 1st, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",725 MHz,1125 MHz,640 / 40 / 16,End-of-life
355,Radeon HD 8950M,AMD,Saturn,"May 14th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1075 MHz,1375 MHz,768 / 48 / 16,End-of-life
356,Radeon HD 8970M,AMD,Neptune,"May 14th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1280 / 80 / 32,End-of-life
357,Radeon HD 8990 OEM,AMD,Malta,"Apr 24th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32,End-of-life
358,Radeon R5 220 OEM,AMD,Cedar,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",650 MHz,533 MHz,80 / 8 / 4,End-of-life
359,Radeon R5 230 OEM,AMD,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4,End-of-life
360,Radeon R5 235 OEM,AMD,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,160 / 8 / 4,End-of-life
361,Radeon R5 235X OEM,AMD,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,End-of-life
362,Radeon R5 240 OEM,AMD,Oland,"Nov 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384 / 24 / 8,End-of-life
363,Radeon R5 M230 Rebrand,AMD,Sun,"Mar 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",750 MHz,900 MHz,320 / 20 / 8,End-of-life
364,Radeon R7 240,AMD,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",650 MHz,1150 MHz,320 / 20 / 8,End-of-life
365,Radeon R7 240,AMD,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8,End-of-life
366,Radeon R7 240 OEM,AMD,Oland,"Nov 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8,End-of-life
367,Radeon R7 250,AMD,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",1000 MHz,1150 MHz,384 / 24 / 8,End-of-life
368,Radeon R7 250,AMD,Cape Verde,"Oct 8th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",925 MHz,900 MHz,512 / 32 / 16,End-of-life
369,Radeon R7 250,AMD,Cape Verde,"Oct 8th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",700 MHz,900 MHz,512 / 32 / 16,End-of-life
370,Radeon R7 250 OEM,AMD,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",1000 MHz,1000 MHz,384 / 24 / 8,End-of-life
371,Radeon R7 250E,AMD,Cape Verde,"Dec 20th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,End-of-life
372,Radeon R7 260,AMD,Bonaire,"Dec 17th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,768 / 48 / 16,End-of-life
373,Radeon R7 260X,AMD,Bonaire,"Oct 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1100 MHz,1625 MHz,896 / 56 / 16,End-of-life
374,Radeon R9 255 OEM,AMD,Cape Verde,"Dec 21st, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1150 MHz,512 / 32 / 16,End-of-life
375,Radeon R9 260 OEM,AMD,Bonaire,"Dec 21st, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1100 MHz,1625 MHz,896 / 56 / 16,End-of-life
376,Radeon R9 270,AMD,Curacao,"Nov 13th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1280 / 80 / 32,End-of-life
377,Radeon R9 270X,AMD,Curacao,"Oct 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1400 MHz,1280 / 80 / 32,End-of-life
378,Radeon R9 280X,AMD,Tahiti,"Oct 8th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1500 MHz,2048 / 128 / 32,End-of-life
379,Radeon R9 280X2,AMD,Tahiti,Unknown,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32,End-of-life
380,Radeon R9 290,AMD,Hawaii,"Nov 5th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",947 MHz,1250 MHz,2560 / 160 / 64,End-of-life
381,Radeon R9 290X,AMD,Hawaii,"Oct 24th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1000 MHz,1250 MHz,2816 / 176 / 64,End-of-life
382,Radeon Sky 500,AMD,Pitcairn,"Mar 27th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",950 MHz,1200 MHz,1280 / 80 / 32,End-of-life
383,Radeon Sky 700,AMD,Tahiti,"Mar 27th, 2013",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",900 MHz,1375 MHz,1792 / 112 / 32,End-of-life
384,Radeon Sky 900,AMD,Tahiti,"Mar 27th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792 / 112 / 32,End-of-life
385,Xbox One GPU,AMD,Durango,"Nov 22nd, 2013",IGP,"8 GB, DDR3, 256 bit",853 MHz,1066 MHz,768 / 48 / 16,End-of-life
386,FirePro A300,AMD,Devastator,"Jun 6th, 2012",PCIe 2.0 x16,System Shared,760 MHz,System Shared,384 / 24 / 8,End-of-life
387,FirePro A320,AMD,Devastator,"Jun 6th, 2012",PCIe 2.0 x16,System Shared,800 MHz,System Shared,384 / 24 / 8,End-of-life
388,FirePro M2000,AMD,Turks,"Jul 1st, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",500 MHz,800 MHz,480 / 24 / 8,End-of-life
389,FirePro M4000,AMD,Chelsea,"Jun 27th, 2012",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,512 / 32 / 16,End-of-life
390,FirePro M6000,AMD,Heathrow,"Jul 1st, 2012",MXM-B (3.0),"2 GB, GDDR5, 128 bit",800 MHz,1000 MHz,640 / 40 / 16,End-of-life
391,FirePro S10000,AMD,Tahiti,"Nov 12th, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792 / 112 / 32,End-of-life
392,FirePro S10000 Passive,AMD,Tahiti,"Nov 12th, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792 / 112 / 32,End-of-life
393,FirePro S7000,AMD,Pitcairn,"Aug 27th, 2012",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",950 MHz,1200 MHz,1280 / 80 / 32,End-of-life
394,FirePro S9000,AMD,Tahiti,"Aug 24th, 2012",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",900 MHz,1375 MHz,1792 / 112 / 32,End-of-life
395,FirePro S9010,AMD,Tahiti,"Aug 24th, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792 / 112 / 32,End-of-life
396,FirePro V3900,AMD,Turks,"Feb 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,900 MHz,480 / 24 / 8,End-of-life
397,FirePro W4000,AMD,Pitcairn,"Aug 7th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,800 MHz,768 / 48 / 32,End-of-life
398,FirePro W5000,AMD,Pitcairn,"Aug 7th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",825 MHz,800 MHz,768 / 48 / 32,End-of-life
399,FirePro W600,AMD,Cape Verde,"Jun 13th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",750 MHz,1000 MHz,512 / 32 / 16,End-of-life
400,FirePro W7000,AMD,Pitcairn,"Jun 13th, 2012",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",950 MHz,1200 MHz,1280 / 80 / 32,End-of-life
401,FirePro W8000,AMD,Tahiti,"Jun 14th, 2012",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",900 MHz,1375 MHz,1792 / 112 / 32,End-of-life
402,FirePro W9000,AMD,Tahiti,"Jun 14th, 2012",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",975 MHz,1375 MHz,2048 / 128 / 32,End-of-life
403,FirePro W9000 X2,AMD,Tahiti,Never Released,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",825 MHz,1250 MHz,1792 / 112 / 32,End-of-life
404,Radeon HD 6250 IGP,AMD,Loveland,"Oct 9th, 2012",IGP,System Shared,276 MHz,System Shared,80 / 8 / 4,End-of-life
405,Radeon HD 6250 IGP,AMD,Loveland,"Apr 4th, 2012",IGP,System Shared,277 MHz,System Shared,80 / 8 / 4,End-of-life
406,Radeon HD 6850 1440SP Edition,AMD,Cypress,"Aug 21st, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440 / 72 / 32,End-of-life
407,Radeon HD 7290 IGP,AMD,Loveland,"Jun 6th, 2012",IGP,System Shared,276 MHz,System Shared,80 / 8 / 4,End-of-life
408,Radeon HD 7310 IGP,AMD,Loveland,"Jun 6th, 2012",IGP,System Shared,500 MHz,System Shared,80 / 8 / 4,End-of-life
409,Radeon HD 7330M,AMD,Robson,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
410,Radeon HD 7340 IGP,AMD,Loveland,"Jun 6th, 2012",IGP,System Shared,523 MHz,System Shared,80 / 8 / 4,End-of-life
411,Radeon HD 7350 OEM,AMD,Cedar,"Jan 5th, 2012",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,800 MHz,80 / 8 / 4,End-of-life
412,Radeon HD 7350 OEM PCI,AMD,Cedar,"Jan 5th, 2012",PCI,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
413,Radeon HD 7350M,AMD,Robson,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
414,Radeon HD 7370M,AMD,Robson,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",750 MHz,800 MHz,80 / 8 / 4,End-of-life
415,Radeon HD 7400G IGP,AMD,Scrapper,"Oct 2nd, 2012",IGP,System Shared,327 MHz,System Shared,192 / 12 / 4,End-of-life
416,Radeon HD 7420G IGP,AMD,Scrapper Lite,"Jun 6th, 2012",IGP,System Shared,480 MHz,System Shared,128 / 8 / 4,End-of-life
417,Radeon HD 7430M,AMD,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",600 MHz,800 MHz,160 / 8 / 4,End-of-life
418,Radeon HD 7450 OEM,AMD,Caicos,"Jan 5th, 2012",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160 / 8 / 4,End-of-life
419,Radeon HD 7450A,AMD,Caicos,"Jan 5th, 2012",MXM-A (3.0),"512 MB, GDDR3, 64 bit",625 MHz,800 MHz,160 / 8 / 4,End-of-life
420,Radeon HD 7450M,AMD,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",750 MHz,900 MHz,160 / 8 / 4,End-of-life
421,Radeon HD 7470 OEM,AMD,Caicos,"Jan 5th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",750 MHz,900 MHz,160 / 8 / 4,End-of-life
422,Radeon HD 7470A,AMD,Caicos,"Jan 5th, 2012",MXM-A (3.0),"512 MB, GDDR3, 64 bit",625 MHz,800 MHz,160 / 8 / 4,End-of-life
423,Radeon HD 7470A,AMD,Redwood,"Jan 5th, 2012",MXM-A (3.0),"1024 MB, DDR3, 64 bit",775 MHz,800 MHz,400 / 20 / 8,End-of-life
424,Radeon HD 7470M,AMD,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",750 MHz,900 MHz,160 / 8 / 4,End-of-life
425,Radeon HD 7480D IGP,AMD,Scrapper Lite,"Oct 2nd, 2012",IGP,System Shared,720 MHz,System Shared,128 / 8 / 4,End-of-life
426,Radeon HD 7490M,AMD,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",800 MHz,950 MHz,160 / 8 / 4,End-of-life
427,Radeon HD 7500G IGP,AMD,Devastator Lite,"May 15th, 2012",IGP,System Shared,327 MHz,System Shared,256 / 16 / 8,End-of-life
428,Radeon HD 7510M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,800 MHz,400 / 20 / 8,End-of-life
429,Radeon HD 7520G IGP,AMD,Scrapper,"Jun 6th, 2012",IGP,System Shared,496 MHz,System Shared,192 / 12 / 4,End-of-life
430,Radeon HD 7530M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,900 MHz,400 / 20 / 8,End-of-life
431,Radeon HD 7540D IGP,AMD,Scrapper,"Oct 2nd, 2012",IGP,System Shared,760 MHz,System Shared,192 / 12 / 4,End-of-life
432,Radeon HD 7550M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",500 MHz,900 MHz,480 / 24 / 16,End-of-life
433,Radeon HD 7550M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",450 MHz,900 MHz,480 / 24 / 16,End-of-life
434,Radeon HD 7560D IGP,AMD,Devastator Lite,"Oct 2nd, 2012",IGP,System Shared,760 MHz,System Shared,256 / 16 / 8,End-of-life
435,Radeon HD 7560G IGP,AMD,Devastator Lite,"May 15th, 2012",IGP,System Shared,496 MHz,System Shared,256 / 16 / 8,End-of-life
436,Radeon HD 7570,AMD,Turks,"Jan 5th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,End-of-life
437,Radeon HD 7570M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",500 MHz,800 MHz,480 / 24 / 16,End-of-life
438,Radeon HD 7590M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",600 MHz,800 MHz,480 / 24 / 16,End-of-life
439,Radeon HD 7600G IGP,AMD,Devastator,"Sep 1st, 2012",IGP,System Shared,320 MHz,System Shared,384 / 24 / 8,End-of-life
440,Radeon HD 7610M,AMD,Whistler,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",500 MHz,800 MHz,400 / 20 / 8,End-of-life
441,Radeon HD 7620G IGP,AMD,Devastator,"May 15th, 2012",IGP,System Shared,360 MHz,System Shared,384 / 24 / 8,End-of-life
442,Radeon HD 7630M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",450 MHz,800 MHz,480 / 24 / 16,End-of-life
443,Radeon HD 7640G IGP,AMD,Devastator Lite,"May 15th, 2012",IGP,System Shared,496 MHz,System Shared,256 / 16 / 8,End-of-life
444,Radeon HD 7650A,AMD,Onega,"Jan 5th, 2012",MXM-A (3.0),"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480 / 24 / 8,End-of-life
445,Radeon HD 7650M,AMD,Thames,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",500 MHz,800 MHz,480 / 24 / 16,End-of-life
446,Radeon HD 7650M Rebrand,AMD,Whistler,"Mar 28th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",485 MHz,800 MHz,480 / 24 / 8,End-of-life
447,Radeon HD 7660D IGP,AMD,Devastator,"Oct 2nd, 2012",IGP,System Shared,760 MHz,System Shared,384 / 24 / 8,End-of-life
448,Radeon HD 7660G IGP,AMD,Devastator,"May 15th, 2012",IGP,System Shared,686 MHz,System Shared,384 / 24 / 8,End-of-life
449,Radeon HD 7670 OEM,AMD,Turks,"Jan 5th, 2012",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480 / 24 / 8,End-of-life
450,Radeon HD 7670A,AMD,Turks,"Jan 5th, 2012",MXM-A (3.0),"1024 MB, GDDR5, 128 bit",600 MHz,1000 MHz,480 / 24 / 8,End-of-life
451,Radeon HD 7670M,AMD,Thames,"Feb 17th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",600 MHz,900 MHz,480 / 24 / 16,End-of-life
452,Radeon HD 7670M Rebrand,AMD,Whistler,"Jul 1st, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,900 MHz,480 / 24 / 8,End-of-life
453,Radeon HD 7690M Rebrand,AMD,Whistler,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,800 MHz,480 / 24 / 8,End-of-life
454,Radeon HD 7690M XT Rebrand,AMD,Whistler,"Jan 4th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",725 MHz,800 MHz,480 / 24 / 8,End-of-life
455,Radeon HD 7730M,AMD,Chelsea,"Apr 24th, 2012",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",575 MHz,900 MHz,512 / 32 / 16,End-of-life
456,Radeon HD 7750,AMD,Cape Verde,"Feb 15th, 2012",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,End-of-life
457,Radeon HD 7750M,AMD,Chelsea,"Apr 24th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",575 MHz,1000 MHz,512 / 32 / 16,End-of-life
458,Radeon HD 7770 GHz Edition,AMD,Cape Verde,"Feb 15th, 2012",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1000 MHz,1125 MHz,640 / 40 / 16,End-of-life
459,Radeon HD 7770M,AMD,Chelsea,"Apr 24th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",675 MHz,1000 MHz,512 / 32 / 16,End-of-life
460,Radeon HD 7850,AMD,Pitcairn,"Mar 5th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",860 MHz,1200 MHz,1024 / 64 / 32,End-of-life
461,Radeon HD 7850M,AMD,Heathrow,"Apr 24th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",675 MHz,1000 MHz,640 / 40 / 16,End-of-life
462,Radeon HD 7870 GHz Edition,AMD,Pitcairn,"Mar 5th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1200 MHz,1280 / 80 / 32,End-of-life
463,Radeon HD 7870 XT,AMD,Tahiti,"Nov 19th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1500 MHz,1536 / 96 / 32,End-of-life
464,Radeon HD 7870M,AMD,Heathrow,"Apr 24th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",800 MHz,1000 MHz,640 / 40 / 16,End-of-life
465,Radeon HD 7950,AMD,Tahiti,"Jan 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792 / 112 / 32,End-of-life
466,Radeon HD 7950 Boost,AMD,Tahiti,"Jun 22nd, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1250 MHz,1792 / 112 / 32,End-of-life
467,Radeon HD 7950 Monica BIOS 1,AMD,Tahiti,"Jan 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1250 MHz,1536 / 96 / 32,End-of-life
468,Radeon HD 7950 Monica BIOS 2,AMD,Tahiti,"Jan 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,768 / 48 / 32,End-of-life
469,Radeon HD 7950M,AMD,Wimbledon,"Apr 24th, 2012",MXM-B (3.0),"2 GB, GDDR5, 256 bit",700 MHz,1000 MHz,1280 / 80 / 32,End-of-life
