,game,release,peak_players,total_reviews,rating
202,Pocky & Rocky Reshrined,2023-02-24,34,2,83.81
203,Elle: Portal,2023-02-17,46,7,83.8
204,STRANGER OF PARADISE FINAL FANTASY ORIGIN,2023-04-06,2544,51,83.78
205,Garden in!,2023-01-26,63,9,83.75
206,Fears to Fathom - Episode 3,2023-01-09,383,76,83.74
207,Tails: The Backbone Preludes,2023-02-02,55,7,83.74
208,Breakout 13,2023-01-09,11996,625,83.73
209,PARANOIA PLACE,2023-02-13,68,18,83.71
210,Half-Life 2: VR Mod - Episode Two,2023-04-06,113,5,83.71
211,Barbaria,2023-02-09,13,4,83.69
212,Truxton,2023-02-14,30,0,83.65
213,Slobbish Dragon Princess 3,2023-03-14,15,0,83.65
214,Into The Flames,2023-01-10,212,97,83.55
215,Children of Silentown,2023-01-11,285,40,83.54
216,Have a Nice Death,2023-03-22,2510,959,83.53
217,See You Later,2023-02-14,10,1,83.53
218,Misericorde: Volume One,2023-03-24,17,0,83.53
219,Miniland Adventure: Prologue,2023-03-13,525,32,83.43
220,Future Radio,2023-02-17,97,11,83.41
221,Conjury Revell,2023-02-07,25,9,83.4
222,Rising Front,2023-01-14,663,115,83.39
223,West Hunt,2023-03-23,449,85,83.35
224,Zombie Admin,2023-01-13,8,1,83.3
225,My Girlfriend’s Special Place,2023-03-13,15,1,83.3
226,A War of a Madman's Making,2023-01-15,10,0,83.27
227,Helpless,2023-03-10,34,5,83.26
228,Siege of Dungeon,2023-01-12,95,13,83.24
229,GunSuit Guardians,2023-03-31,85,2,83.23
230,Diary of Lucie,2023-02-24,156,32,83.21
231,MINDHACK,2023-04-05,195,1,83.19
232,Phantom Tentacle,2023-03-31,19,38,83.18
233,TitTok Kitty,2023-02-14,6,0,83.14
234,Ghostland Yard,2023-03-28,16,0,83.14
235,Interior Worlds,2023-04-07,35,0,83.14
236,I commissioned some bunnies,2023-01-26,11,0,83.14
237,Life After Magic,2023-03-23,16,0,83.14
238,Flashback,2023-02-20,119,13,83.13
239,銀斧 The Honest Elf,2023-03-05,17,2,83.13
240,Swords and Sandals Immortals,2023-03-09,326,86,83.1
241,Ogu and the Secret Forest,2023-03-24,235,9,83.08
242,Neptunia: Sisters VS Sisters,2023-01-24,417,44,83.06
243,The Missing Parts of Maria Gwozdek,2023-02-10,12,2,83.02
244,LoFi Hotel,2023-02-04,6,0,83.0
245,Physical Layer,2023-03-16,43,0,83.0
246,Broken Universe - Tower Defense,2023-02-05,387,21,82.97
247,Dread Templar,2023-01-26,159,117,82.95
248,YOLKED,2023-04-06,8,1,82.95
249,Veil of Dust: A Homesteading Game,2023-04-02,14,1,82.95
250,DESTRUCTURE: Among Debris,2023-02-27,15,1,82.95
251,Rich Lady's Slave Role Play,2023-03-16,68,4,82.92
252,Absinthia,2023-03-13,12,0,82.85
253,XXX_CYBERRAT_XXX,2023-02-20,37,4,82.83
254,Netherguild,2023-03-27,21,1,82.82
255,Yggdra Union,2023-02-07,118,6,82.79
256,Song Of The Prairie,2023-04-07,927,14,82.77
257,大侠立志传,2023-03-08,28936,898,82.76
258,HITLER: BDSM BUNKER,2023-02-11,403,6,82.71
259,Finnish Army Simulator,2023-01-13,456,33,82.7
260,DARK NIGHT WITH FLOPPA,2023-01-06,12,26,82.7
261,Stuffo the Puzzle Bot,2023-03-02,9,0,82.7
262,Low Oxygen,2023-03-16,46,3,82.63
263,WW2 Rebuilder,2023-01-16,1219,84,82.58
264,Alien maze,2023-02-10,20,13,82.57
265,枪神出击,2023-01-30,490,1,82.55
266,Awakened Evil,2023-01-30,6,0,82.55
267,The Pyramid Of Bones,2023-02-14,16,0,82.55
268,乱世无双,2023-03-08,24,4,82.54
269,Full Metal Sergeant,2023-04-03,151,2,82.44
270,Spiritfall,2023-04-03,587,30,82.43
271,Berry People,2023-02-14,11,3,82.42
272,Mage Kanade's Futanari Dungeon Quest,2023-03-14,152,13,82.39
273,Limbus Company,2023-02-26,30225,1376,82.34
274,Beer Factory - Prologue,2023-03-13,1279,96,82.31
