id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
30601,Hard Rock Pinball,2020,2,9,2,2,66.76%
30602,Coof Attack,2020,6,9,2,2,66.76%
30603,Mission Biotech,2020,5,9,2,2,66.76%
30604,The Chronicles of Confucius's Journey,2020,4,9,2,2,66.76%
30605,Choco Pixel 5,2020,2,9,2,2,66.76%
30606,Dungeon of Trials,2020,2,9,2,2,66.76%
30607,Kármán line: the edge of war,2020,3,9,2,2,66.76%
30608,Bring Dad Home,2020,2,9,2,2,66.76%
30609,Maidens of the Ocean Solitaire,2020,4,9,2,2,66.76%
30610,Hidden Valley Tower Defense,2020,3,9,2,2,66.76%
30611,Professor Rubik’s Brain Fitness,2020,3,9,2,2,66.76%
30612,AutoLand,2020,2,9,2,2,66.76%
30613,Beat Me If You Can,2020,6,9,2,2,66.76%
30614,Japanese Romaji Adventure,2020,3,9,2,2,66.76%
30615,1001 Jigsaw World Tour Africa,2020,3,9,2,2,66.76%
30616,MOAI 6: Unexpected Guests,2020,16,9,2,2,66.76%
30617,Nerm the Worm,2020,3,9,2,2,66.76%
30618,Otherside,2020,2,9,2,2,66.76%
30619,The Tides of Time,2020,4,9,2,2,66.76%
30620,Girls on puzzle 2,2020,2,9,2,2,66.76%
30621,MUMMMASTER!,2020,2,9,2,2,66.76%
30622,RPG World - Action RPG Maker,2020,39,377,164,164,66.73%
30623,The Forgotten Land,2020,14,42,15,15,66.71%
30624,Hero of Not Our Time,2020,42,105,42,42,66.67%
30625,GONNER2,2020,26,82,32,32,66.67%
30626,End of War 1945,2020,12,17,5,5,66.66%
30627,Dungeon Origins,2020,11,17,5,5,66.66%
30628,Floppy Heroes 2,2020,7,17,5,5,66.66%
30629,Rainbows  toilets & unicorns,2020,4,17,5,5,66.66%
30630,The Last Saviour,2020,4,17,5,5,66.66%
30631,HYPERBOLIC Arcade Trading,2020,4,17,5,5,66.66%
30632,Beauty Contest,2020,4,17,5,5,66.66%
30633,The Developer,2020,4,17,5,5,66.66%
30634,The Bible - Exodus,2020,2,17,5,5,66.66%
30635,BreakBlast,2020,7,17,5,5,66.66%
30636,Ghost Stories 2,2020,6,37,13,13,66.65%
30637,Super Soccer Blast,2020,35,91,36,36,66.63%
30638,Fireflies,2020,4,6,1,1,66.62%
30639,ELISEISK 2074,2020,2,6,1,1,66.62%
30640,Quash,2020,4,6,1,1,66.62%
30641,Blind Spot VR / 盲点 VR,2020,3,6,1,1,66.62%
30642,Sanguine Soul,2020,3,6,1,1,66.62%
30643,OCEAN OF BATTLES,2020,2,6,1,1,66.62%
30644,Deadly Night - No Escape,2020,2,6,1,1,66.62%
30645,Crazy Eights 3D Premium,2020,6,6,1,1,66.62%
30646,Beast Brigade,2020,2,6,1,1,66.62%
30647,Fantaventura,2020,2,6,1,1,66.62%
30648,Vile Matter,2020,2,6,1,1,66.62%
30649,Dimension of Dreams,2020,7,6,1,1,66.62%
30650,Slay The Bigies,2020,2,6,1,1,66.62%
30651,Universe Quiz,2020,2,6,1,1,66.62%
30652,Divine Legacy,2020,3,6,1,1,66.62%
30653,Sokpop S03: Doler,2020,2,6,1,1,66.62%
30654,Craftica,2020,2,6,1,1,66.62%
30655,The Legend of Eldridge Scrolls: Woop,2020,3,6,1,1,66.62%
30656,千里の棋譜 ～現代将棋ミステリー～,2020,11,6,1,1,66.62%
30657,Shape Arena,2020,19,6,1,1,66.62%
30658,Stellaxy,2020,4,6,1,1,66.62%
30659,The Unseen Fears: Ominous Talent Collector's Edition,2020,5,6,1,1,66.62%
30660,Space Mega Force Man,2020,2,6,1,1,66.62%
30661,The Mermaid's Secret Remedy The Love Spell,2020,2,6,1,1,66.62%
30662,Smile,2020,5,6,1,1,66.62%
30663,Boom Stick,2020,2,6,1,1,66.62%
30664,Entelechy,2020,2,6,1,1,66.62%
30665,Chronicle of Daneya,2020,3,6,1,1,66.62%
30666,Stimuli,2020,3,6,1,1,66.62%
30667,Kyo's Routine,2020,2,6,1,1,66.62%
30668,Strato's Sylph Asterism,2020,2,6,1,1,66.62%
30669,Sakura Stars,2020,1,6,1,1,66.62%
30670,PUZZL,2020,2,6,1,1,66.62%
30671,[NTRPG] Wife Punishment 妻子的惩罚!!~风情客栈的公交车~,2020,2,6,1,1,66.62%
30672,PT+,2020,2,6,1,1,66.62%
30673,Living Legends Remastered: Ice Rose Collector's Edition,2020,6,6,1,1,66.62%
30674,The Fantastic Adventure of Monsieur Grape!,2020,2,6,1,1,66.62%
30675,Greedy Maze,2020,3,6,1,1,66.62%
30676,Butterfly 3. Funny Twins.,2020,2,6,1,1,66.62%
30677,Lunar Rover,2020,2,6,1,1,66.62%
30678,Candle In Darkness,2020,2,6,1,1,66.62%
30679,Covert Commando,2020,2,6,1,1,66.62%
30680,Souls Lore,2020,3,6,1,1,66.62%
30681,沉默沼泽,2020,4,6,1,1,66.62%
30682,Wild Baffo,2020,3,6,1,1,66.62%
30683,LIFESPAWN,2020,8,6,1,1,66.62%
30684,Drilly Willis,2020,2,6,1,1,66.62%
30685,Ursa,2020,2,6,1,1,66.62%
30686,Match It!,2020,2,6,1,1,66.62%
30687,Bloody Horde,2020,5,6,1,1,66.62%
30688,Summoner Apprentice,2020,2,6,1,1,66.62%
30689,DUNGEON OF NAZARICK,2020,2,6,1,1,66.62%
30690,Outta This Kingdom,2020,4,6,1,1,66.62%
30691,Bridge to Another World: Secrets of the Nutcracker Collector's Edition,2020,6,6,1,1,66.62%
30692,Swords and Sandals Crusader Redux,2020,20,77,30,30,66.60%
30693,Faerie Solitaire Dire,2020,17,32,11,11,66.60%
30694,Dungeon Solver,2020,5,32,11,11,66.60%
30695,Jessika,2020,22,134,55,55,66.59%
30696,Peekaboo Collection - 3 Tales of Horror,2020,4,27,9,9,66.57%
30697,ABC: Audioreactive Beat Circle,2020,5,27,9,9,66.57%
30698,HentaiTeachers,2020,3,22,7,7,66.57%
30699,The Amazing Fantastics,2020,3,22,7,7,66.57%
30700,NEAVE,2020,6,22,7,7,66.57%
30701,Coronavirus Quarantine Simulator,2020,12,22,7,7,66.57%
30702,Damn  what was yesterday?,2020,3,22,7,7,66.57%
30703,Reflect Horizons,2020,3,22,7,7,66.57%
30704,Shiny Summer,2020,3,22,7,7,66.57%
30705,Dread Nautical,2020,16,22,7,7,66.57%
30706,Dwarf Shop,2020,40,65,25,25,66.51%
30707,Formula Retro Racing,2020,12,58,22,22,66.51%
30708,Never BreakUp Beta,2020,101,131,54,54,66.49%
30709,Accident: The Pilot,2020,83,488,218,218,66.47%
30710,CyberTaxi,2020,6,97,39,39,66.47%
30711,Hot And Lovely 2,2020,129,352,155,155,66.45%
30712,妙连千军 Million Dungeon,2020,203,197,84,84,66.43%
30713,KnotBot,2020,12,34,12,12,66.41%
30714,Genesis Alpha One Deluxe Edition,2020,783,"1,432",667,667,66.40%
30715,Professional Farmer: Cattle and Crops,2020,1308,"1,154",534,534,66.40%
30716,Möbius Front '83,2020,250,273,119,119,66.39%
30717,Mist Hunter,2020,7,29,10,10,66.33%
30718,Not Dead Yet,2020,12,29,10,10,66.33%
30719,Wanderlust: Transsiberian,2020,5,29,10,10,66.33%
30720,Try To Reach 10,2020,11,14,4,4,66.33%
30721,Welcome to Primrose Lake,2020,5,14,4,4,66.33%
30722,BlazeSky,2020,5,14,4,4,66.33%
30723,Flatspace,2020,6,14,4,4,66.33%
30724,Counter Fight 4,2020,6,14,4,4,66.33%
30725,Hunting Unlimited 1,2020,4,14,4,4,66.33%
30726,Nightvision,2020,4,14,4,4,66.33%
30727,The Battle of Angels,2020,3,14,4,4,66.33%
30728,Dungeons of Clay,2020,3,14,4,4,66.33%
30729,Tyrgard - Trial of honor,2020,3,14,4,4,66.33%
30730,4ife,2020,5,14,4,4,66.33%
30731,Lockdown Hero,2020,6,14,4,4,66.33%
30732,ProjectTeo,2020,7,14,4,4,66.33%
30733,Starport Delta,2020,42,55,21,21,66.32%
30734,ADULT SHERIFF,2020,8,145,61,61,66.29%
30735,Your amazing T-Gotchi!,2020,128,293,129,129,66.28%
30736,DOOR,2020,6,24,8,8,66.27%
30737,Defective Holiday,2020,3,24,8,8,66.27%
30738,Motionless,2020,3,24,8,8,66.27%
30739,Gladiators IDLE,2020,3,24,8,8,66.27%
30740,The Catch: Carp & Coarse Fishing,2020,168,193,83,83,66.26%
30741,Unlock The King 2,2020,8,64,25,25,66.26%
30742,GLADOM - 2D PVP Free & Skill Based,2020,8,19,6,6,66.25%
30743,Johnny Mystery and The Halloween Killer,2020,3,19,6,6,66.25%
30744,Alchemage,2020,26,186,80,80,66.22%
30745,Danger Gazers,2020,13,50,19,19,66.21%
30746,Hentai Milf Quiz 2,2020,4,43,16,16,66.21%
30747,Deep Despair,2020,121,177,76,76,66.19%
30748,Drugs and Crime Idle,2020,88,157,67,67,66.15%
30749,LesLove.Club: Emily and Sarah,2020,8,31,11,11,66.14%
30750,Withstand,2020,75,224,98,98,66.13%
30751,Whiskey.Mafia. Leo's Family,2020,11,239,105,105,66.12%
30752,机忆,2020,13,52,20,20,66.11%
30753,Hentai Cyberpunk,2020,4,45,17,17,66.09%
30754,Slinger VR,2020,10,38,14,14,66.09%
30755,Blood price,2020,20,79,32,32,66.06%
30756,Aquila Bird Flight Simulator,2020,5,26,9,9,66.03%
30757,Red Rush,2020,9,26,9,9,66.03%
30758,Diesel Punch,2020,3,26,9,9,66.03%
30759,Guts 'N Goals: Preseason,2020,16,26,9,9,66.03%
30760,Anime - Space Sniper,2020,2,26,9,9,66.03%
30761,Uniform Girl,2020,107,276,123,123,66.02%
30762,Hentai Milf Quiz,2020,10,147,63,63,66.01%
30763,White Day VR: Courage Test,2020,4,47,18,18,65.99%
30764,City Monsters,2020,26,33,12,12,65.96%
30765,UIFO DEFENSE HD,2020,9,33,12,12,65.96%
30766,Cumming Hotel - A Gay Furry Slice of Life,2020,7,33,12,12,65.96%
30767,Oh My Girl / 我的女孩,2020,5,33,12,12,65.96%
30768,Hentai Maid Club,2020,4,33,12,12,65.96%
30769,Legend of Towercraft,2020,60,56,22,22,65.95%
30770,Dungeon Defenders: Awakened,2020,2877,"2,948","1,431","1,431",65.93%
30771,Medicinal Herbs - Cannabis Grow Simulator,2020,12,21,7,7,65.93%
30772,Antares,2020,3,21,7,7,65.93%
30773,Demian,2020,16,21,7,7,65.93%
30774,Landflix Odyssey,2020,4,11,3,3,65.93%
30775,Welcome To... Chichester 2 - Part 2 : No Regrets For The Future,2020,2,11,3,3,65.93%
30776,Pooplers,2020,6,11,3,3,65.93%
30777,Super Hiking Simulator 2020,2020,3,11,3,3,65.93%
30778,Castle Fight,2020,2,11,3,3,65.93%
30779,Time Agent,2020,3,11,3,3,65.93%
30780,Dark Sales,2020,3,11,3,3,65.93%
30781,No One Can Ever Know,2020,3,11,3,3,65.93%
30782,Buddi Bot: Your Machine Learning AI Helper With Advanced Neural Networking!,2020,4,11,3,3,65.93%
30783,Ragozin on Moon,2020,4,11,3,3,65.93%
30784,GyroBlade,2020,3,11,3,3,65.93%
30785,Last Year: The Nightmare,2020,198,382,174,174,65.92%
30786,Time To Stop Time,2020,33,96,40,40,65.91%
30787,Adventures Diary of Merchant,2020,20,58,23,23,65.87%
30788,Cyrano Story,2020,1253,729,342,342,65.86%
30789,Crunch Element,2020,48,320,145,145,65.86%
30790,Inops,2020,26,16,5,5,65.86%
30791,Mini Transport,2020,3,16,5,5,65.86%
30792,Labyrinth of the Witch,2020,43,16,5,5,65.86%
30793,Vacation: dayOFF,2020,4,16,5,5,65.86%
30794,Tarek,2020,6,16,5,5,65.86%
30795,Industrial Firefighters,2020,9,16,5,5,65.86%
30796,Mermaid Adventures: The Magic Pearl,2020,5,16,5,5,65.86%
30797,Dark Fantasy: Epic Jigsaw Puzzle,2020,7,42,16,16,65.85%
30798,TSM3:Gemini Strategy/双子战纪,2020,11,35,13,13,65.82%
30799,A Buttload of Free Games,2020,12,35,13,13,65.82%
30800,Follower:Sacrifice,2020,18,28,10,10,65.82%
30801,Gangsta Magic,2020,4,28,10,10,65.82%
30802,Beat Me!,2020,18,51,20,20,65.81%
30803,Marvel's Avengers - The Definitive Edition,2020,31165,"18,901","9,505","9,505",65.78%
30804,Those Who Remain,2020,157,395,182,182,65.74%
30805,To Hell with Hell,2020,15,53,21,21,65.73%
30806,RPG NPC Simulator VR,2020,10,53,21,21,65.73%
30807,Gripper: Prologue,2020,16,53,21,21,65.73%
30808,Ballad of The Masked Bandits,2020,32,37,14,14,65.69%
30809,ZERO GUNNER 2-,2020,9,37,14,14,65.69%
30810,Hentai Waifu 101,2020,5,37,14,14,65.69%
30811,Trapped Guys,2020,21,23,8,8,65.67%
30812,Primeval Planet: Angimanation,2020,11,23,8,8,65.67%
30813,Hentai Nureta Puzzle College,2020,3,23,8,8,65.67%
30814,Doodle Derby,2020,19,55,22,22,65.66%
30815,Drafting Tales,2020,18,55,22,22,65.66%
30816,Escape from Skull Dungeon,2020,19,55,22,22,65.66%
30817,重装无限·Metal Infinite,2020,6,30,11,11,65.65%
30818,Ludus,2020,185,339,156,156,65.63%
30819,Virtual Battlegrounds,2020,140,334,154,154,65.58%
30820,Peasants War,2020,24,92,39,39,65.58%
30821,Harem Girl: Nikki,2020,9,83,35,35,65.51%
30822,DMLC!,2020,33,18,6,6,65.51%
30823,Car Crush Racing Simulator,2020,50,18,6,6,65.51%
30824,HEX Hacking Simulator,2020,7,18,6,6,65.51%
30825,Golden Moon,2020,15,18,6,6,65.51%
30826,Baby Coyote,2020,3,18,6,6,65.51%
30827,Aripi,2020,2,18,6,6,65.51%
30828,Space Commander: War and Trade,2020,170,347,161,161,65.50%
30829,Hollow Head,2020,4,32,12,12,65.50%
30830,YesterMorrow,2020,24,41,16,16,65.47%
30831,Similo: The Card Game,2020,11,25,9,9,65.46%
30832,Hollow Mind: The Lost Puppy,2020,6,25,9,9,65.46%
30833,Final Fleet,2020,4,8,2,2,65.42%
30834,Birthright Cataclysm - Overture,2020,4,8,2,2,65.42%
30835,Board Games VR,2020,9,8,2,2,65.42%
30836,Blade of Arena,2020,6,8,2,2,65.42%
30837,Circle of Sumo,2020,5,8,2,2,65.42%
30838,Dr Tacocat,2020,2,8,2,2,65.42%
30839,1001 Jigsaw. Ice Age,2020,3,8,2,2,65.42%
30840,Jack In Town,2020,3,8,2,2,65.42%
30841,Labyrinths of the World: The Wild Side Collector's Edition,2020,6,8,2,2,65.42%
30842,Paws and Effect,2020,6,8,2,2,65.42%
30843,P-BOT,2020,3,8,2,2,65.42%
30844,Escape Rebooted,2020,3,8,2,2,65.42%
30845,Sokpop S07: labyrinth,2020,3,8,2,2,65.42%
30846,FierceWind Decay,2020,2,8,2,2,65.42%
30847,被遺棄的雙子 Gemini of the abandoned,2020,2,8,2,2,65.42%
30848,Sky Seeker,2020,4,8,2,2,65.42%
30849,MINE,2020,4,8,2,2,65.42%
30850,Bad Meme,2020,3,8,2,2,65.42%
30851,OMG: One Million Guns,2020,3,8,2,2,65.42%
30852,Taken Away,2020,3,8,2,2,65.42%
30853,Twin Breaker: A Sacred Symbols Adventure,2020,4,8,2,2,65.42%
30854,Divine Adventure,2020,7,8,2,2,65.42%
30855,故乡的记忆：味缘篇,2020,2,8,2,2,65.42%
30856,Battle Hunters,2020,4,8,2,2,65.42%
30857,Soul Catcher,2020,3,8,2,2,65.42%
30858,Kasmo,2020,2,8,2,2,65.42%
30859,Until Last Breath,2020,2,8,2,2,65.42%
30860,Eye of the Beholder,2020,2,8,2,2,65.42%
30861,Orbital Invaders,2020,2,8,2,2,65.42%
30862,Rouge Wars,2020,5,8,2,2,65.42%
30863,Doctor Bunny,2020,4,8,2,2,65.42%
30864,Spinny's Journey,2020,2,8,2,2,65.42%
30865,Head Worms,2020,3,8,2,2,65.42%
30866,Naudrion,2020,21,76,32,32,65.41%
30867,PAW Patrol Mighty Pups Save Adventure Bay,2020,45,91,39,39,65.39%
30868,COVID: The Outbreak,2020,31,65,27,27,65.38%
30869,FM,2020,8,43,17,17,65.38%
30870,Go For a Walk,2020,3,13,4,4,65.38%
30871,Lust of the Apartment Wives,2020,4,13,4,4,65.38%
30872,Witchcraft: Pandoras Box,2020,5,13,4,4,65.38%
30873,Friend Sighting,2020,3,13,4,4,65.38%
30874,Pandora Galaxy,2020,7,13,4,4,65.38%
30875,Bulk Dominoes VR: Kinetic Rush,2020,3,13,4,4,65.38%
30876,Ahlman Mansion 2020,2020,8,13,4,4,65.38%
30877,海腹川背 BaZooKa!,2020,14,13,4,4,65.38%
30878,Sexy Caravan,2020,5,13,4,4,65.38%
30879,Haunted Hotel: Lost Time Collector's Edition,2020,8,13,4,4,65.38%
30880,Pillow Simulator,2020,5,13,4,4,65.38%
30881,DOGMAN,2020,2,13,4,4,65.38%
30882,Poco In Dungeon,2020,5,13,4,4,65.38%
30883,Schastye,2020,4,146,65,65,65.37%
30884,Monster Truck Championship,2020,36,108,47,47,65.37%
30885,HospitalityVR,2020,12,78,33,33,65.37%
30886,Mr.King Luo!Don't be kidding,2020,10,34,13,13,65.37%
30887,A Long Way Down,2020,104,152,68,68,65.33%
30888,Utopia Colony,2020,12,67,28,28,65.33%
30889,Inexistence Rebirth,2020,14,67,28,28,65.33%
30890,Bloom,2020,5,27,10,10,65.29%
30891,Fortoresse,2020,12,36,14,14,65.26%
30892,Mission IDLE,2020,6,36,14,14,65.26%
30893,Electro Ride Prologue,2020,41,122,54,54,65.25%
30894,Fantasy General II: Prologue,2020,22,58,24,24,65.25%
30895,Nightwalker,2020,3,20,7,7,65.25%
30896,ExoTanks,2020,27,124,55,55,65.24%
30897,Katana Kata,2020,6,47,19,19,65.23%
30898,BadLads,2020,26,90,39,39,65.20%
30899,Eternal Magic,2020,620,472,226,226,65.17%
30900,I  AI,2020,6,38,15,15,65.17%
30901,Call of Coronga,2020,7,38,15,15,65.17%
30902,World of Soccer RELOADED,2020,69,77,33,33,65.15%
30903,Captain Tsubasa - Rise of New Champions,2020,4442,"2,882","1,454","1,454",65.14%
30904,Death end re;Quest 2,2020,256,267,125,125,65.11%
30905,Rebirth Fantasy Online,2020,98,100,44,44,65.10%
30906,Good Morning World,2020,88,123,55,55,65.09%
30907,Mysteria~Occult Shadows~,2020,554,"2,139","1,076","1,076",65.08%
30908,燎刃,2020,8,40,16,16,65.08%
30909,Animal Rescuer: Prologue,2020,27,83,36,36,65.07%
30910,Human Simulator,2020,7,22,8,8,65.03%
30911,Evergate: Ki's Awakening,2020,10,22,8,8,65.03%
30912,Silent Mansion : Summoner Part2,2020,5,22,8,8,65.03%
30913,王国幻境,2020,7,31,12,12,65.02%
30914,Goosebumps Dead of Night,2020,7,31,12,12,65.02%
30915,CrashMetal Cyberpunk,2020,916,314,149,149,65.01%
30916,Light Tracer 2,2020,8,15,5,5,65.00%
30917,Rock  Paper  Scissors Simulator,2020,2,15,5,5,65.00%
30918,Me and Myself,2020,7,15,5,5,65.00%
30919,Pixel Dominance,2020,2,15,5,5,65.00%
30920,Aether Field,2020,4,15,5,5,65.00%
30921,Magical Miri,2020,4,15,5,5,65.00%
30922,Metal Gunner,2020,3,15,5,5,65.00%
30923,GoldFish Brain,2020,3,15,5,5,65.00%
30924,Groove Fit Kingdom!,2020,4,15,5,5,65.00%
30925,Mad Bus,2020,4,15,5,5,65.00%
30926,Let's Learn Shogi,2020,4,15,5,5,65.00%
30927,Bleeding Edge,2020,1464,"1,062",528,528,64.97%
30928,MENTAL,2020,17,57,24,24,64.96%
30929,P.A.I.N.T.,2020,32,76,33,33,64.93%
30930,The Last Element: Looking For Tomorrow,2020,5,99,44,44,64.92%
30931,Headshot VR,2020,10,59,25,25,64.92%
30932,Seven Doors,2020,6,59,25,25,64.92%
30933,Jump To Die 2 - Bloody Soul,2020,21,33,13,13,64.92%
30934,How to punish a witch,2020,5,33,13,13,64.92%
30935,Northern Lights,2020,78,173,80,80,64.91%
30936,Flag Collection,2020,4,61,26,26,64.89%
30937,Pinup Ball,2020,27,82,36,36,64.87%
30938,Goblin Times,2020,6,24,9,9,64.87%
30939,Sex Apocalypse,2020,3,24,9,9,64.87%
30940,Andarilho,2020,2428,739,366,366,64.83%
30941,Mech Engineer,2020,20,86,38,38,64.83%
30942,Saber Fight VR,2020,11,117,53,53,64.82%
30943,Alien 911 Prologue,2020,47,50,21,21,64.79%
30944,Random Heroes: Gold Edition,2020,10,50,21,21,64.79%
30945,Underground Keeper 2,2020,2,5,1,1,64.78%
30946,Miney Company: A Data Racket,2020,2,5,1,1,64.78%
30947,Tranquil Garden,2020,3,5,1,1,64.78%
30948,Rapture,2020,5,5,1,1,64.78%
30949,Rolling Rumble,2020,3,5,1,1,64.78%
30950,Xtreme Typing,2020,2,5,1,1,64.78%
30951,Fairytale Solitaire. Witch Charms,2020,5,5,1,1,64.78%
30952,Tasty Jigsaw: Happy Hour,2020,3,5,1,1,64.78%
30953,Fight High,2020,3,5,1,1,64.78%
30954,Bounce Knight,2020,2,5,1,1,64.78%
30955,Ninja Run,2020,2,5,1,1,64.78%
30956,Rhythm of the Gods,2020,3,5,1,1,64.78%
30957,FEB - Brazilian Elite Force,2020,1,5,1,1,64.78%
30958,Frog X Log,2020,1,5,1,1,64.78%
30959,Haustoria,2020,2,5,1,1,64.78%
30960,Terminal Singularity,2020,3,5,1,1,64.78%
30961,Recluses,2020,1,5,1,1,64.78%
30962,Kingdom vs Zombies,2020,2,5,1,1,64.78%
30963,陆大迹神Ⅱ,2020,12,5,1,1,64.78%
30964,Politicking,2020,8,5,1,1,64.78%
30965,Crocodine: The Buffet,2020,4,5,1,1,64.78%
30966,Roboshark Rampage,2020,2,5,1,1,64.78%
30967,Bounty For Sharks,2020,2,5,1,1,64.78%
30968,Simple LOTO Simulator,2020,3,5,1,1,64.78%
30969,Wandering Through The Vines,2020,1,5,1,1,64.78%
30970,Hiragana POW!,2020,1,5,1,1,64.78%
30971,Captain Pegleg,2020,2,5,1,1,64.78%
30972,Wacky Golf Land,2020,3,5,1,1,64.78%
30973,VR Mummy Girl,2020,4,5,1,1,64.78%
30974,Military Service,2020,2,5,1,1,64.78%
30975,Sunrise 7,2020,3,5,1,1,64.78%
30976,Dungeon & Derision,2020,3,5,1,1,64.78%
30977,Collection Quest,2020,4,5,1,1,64.78%
30978,Death Taxi 3000,2020,2,5,1,1,64.78%
30979,我是熊孩子,2020,3,5,1,1,64.78%
30980,BoxxyQuest: The Gathering Storm,2020,5,5,1,1,64.78%
30981,Projet Océara,2020,2,5,1,1,64.78%
30982,Party Mashup,2020,5,5,1,1,64.78%
30983,Turkey Hunting Unlimited,2020,4,5,1,1,64.78%
30984,The Door Of Redemption,2020,2,5,1,1,64.78%
30985,Holiday Mosaics Christmas Puzzles,2020,4,5,1,1,64.78%
30986,Hentai XXX Plus: Jigsaws Vol 2,2020,3,5,1,1,64.78%
30987,Solitaire. Elemental Wizards,2020,4,5,1,1,64.78%
30988,灰烬行星与填鸭少女,2020,3,5,1,1,64.78%
30989,Apprentice Arriving,2020,3,5,1,1,64.78%
30990,Bomber Games,2020,5,5,1,1,64.78%
30991,Brain Marmelade,2020,2,5,1,1,64.78%
30992,Forsaken Flesh,2020,5,5,1,1,64.78%
30993,Healing Movement,2020,2,5,1,1,64.78%
30994,Max and the Book of Chaos,2020,2,5,1,1,64.78%
30995,7n7,2020,1,5,1,1,64.78%
30996,Starship Intruder,2020,2,5,1,1,64.78%
30997,Ghost Beat,2020,2,5,1,1,64.78%
30998,The Kingdom of Gardenia,2020,1,5,1,1,64.78%
30999,休止符 StopSign,2020,3,5,1,1,64.78%
31000,Kidgilantes,2020,3,5,1,1,64.78%
31001,The Owl Quest,2020,2,5,1,1,64.78%
31002,Battletronics,2020,3,5,1,1,64.78%
31003,Ninja Castle Escape,2020,4,5,1,1,64.78%
31004,Cowboys n' Stuff,2020,3,5,1,1,64.78%
31005,Anime Jigsaw Puzzles,2020,2,5,1,1,64.78%
31006,Egypt Picross Pharaohs Riddles,2020,8,5,1,1,64.78%
31007,Sponsor-A-Planet,2020,1,5,1,1,64.78%
31008,Memories of Fireflies,2020,2,5,1,1,64.78%
31009,Guns N Stuff,2020,4,5,1,1,64.78%
31010,DumbBots: Hello World,2020,4,5,1,1,64.78%
31011,Voyeur,2020,2,5,1,1,64.78%
31012,Sudoku Forever,2020,2,5,1,1,64.78%
31013,Consequence,2020,2,5,1,1,64.78%
31014,Gem Legend,2020,5,5,1,1,64.78%
31015,Asian Riddles 3,2020,5,5,1,1,64.78%
31016,Insect Adventure Demo,2020,4,5,1,1,64.78%
31017,Dual Guns Fantasy,2020,2,5,1,1,64.78%
31018,Sokpop S09: skelets,2020,3,5,1,1,64.78%
31019,Fox in the Woods,2020,1,5,1,1,64.78%
31020,Whats wrong with me?,2020,2,5,1,1,64.78%
31021,Hustomten,2020,2,5,1,1,64.78%
31022,KINESIS,2020,4,5,1,1,64.78%
31023,约会模拟器：原型,2020,2,5,1,1,64.78%
31024,Alice's Jigsaw Time Travel,2020,3,5,1,1,64.78%
31025,Mineirinho Director's Cut,2020,698,"1,013",508,508,64.77%
31026,Sokpop S01: Bombini,2020,2,10,3,3,64.76%
31027,Is the President a Traitor?,2020,4,10,3,3,64.76%
31028,Bonfire,2020,2,10,3,3,64.76%
31029,Synthetic blood: Mind Shift,2020,3,10,3,3,64.76%
31030,Bunny Quest,2020,3,10,3,3,64.76%
31031,GraFi St.Patrick,2020,5,10,3,3,64.76%
31032,Sweet Solitaire: School Witch,2020,5,10,3,3,64.76%
31033,Night Jackal,2020,2,10,3,3,64.76%
31034,Covid-Racing,2020,2,10,3,3,64.76%
31035,I AM FLY,2020,2,10,3,3,64.76%
31036,Anagrams,2020,5,10,3,3,64.76%
31037,Magic Griddlers,2020,6,10,3,3,64.76%
31038,Mine Crazy: The Korean Grinder,2020,3,10,3,3,64.76%
31039,Artifact Hunter,2020,6,10,3,3,64.76%
31040,Town Fall Zombie,2020,4,10,3,3,64.76%
31041,Amulet of Time: Shadow of La Rochelle,2020,7,37,15,15,64.75%
31042,Wasted World,2020,59,52,22,22,64.74%
31043,Zombie Claus,2020,6,26,10,10,64.73%
31044,Spacky's Nightshift,2020,3,26,10,10,64.73%
31045,War Smith,2020,6,26,10,10,64.73%
31046,Volta-X,2020,16,26,10,10,64.73%
31047,Lynium,2020,5,26,10,10,64.73%
31048,Ashes 2,2020,11,17,6,6,64.73%
31049,Dr. Derk's Mutant Battlegrounds,2020,19,17,6,6,64.73%
31050,Kamile: The Fall,2020,2,17,6,6,64.73%
31051,Shades Of Heroes,2020,7,17,6,6,64.73%
31052,BATYA,2020,3,17,6,6,64.73%
31053,Super DEE,2020,4,17,6,6,64.73%
31054,Damn Dolls,2020,3,17,6,6,64.73%
31055,Robots  Death & Venice,2020,3,17,6,6,64.73%
31056,Fishing Sim World®: Bass Pro Shops Edition,2020,12,17,6,6,64.73%
31057,~Azur Ring~virgin and slave's phylacteries,2020,76,155,72,72,64.72%
31058,The Bonfire 2: Uncharted Shores,2020,205,191,90,90,64.68%
31059,RollerCoaster VR Universe,2020,11,79,35,35,64.67%
31060,汉武大帝传,2020,21,79,35,35,64.67%
31061,The Innsmouth Case,2020,29,83,37,37,64.64%
31062,Clan N,2020,7,28,11,11,64.62%
31063,Exit Limbo: Opening,2020,5,28,11,11,64.62%
31064,CyberOps Prologue,2020,15,28,11,11,64.62%
31065,Silmaris: Dice Kingdom,2020,75,60,26,26,64.61%
31066,Engine Evolution,2020,49,172,81,81,64.59%
31067,Under: Depths of Fear,2020,43,168,79,79,64.59%
31068,Captain Fly and Sexy Girls at the Night Club,2020,5,43,18,18,64.58%
31069,休闲游戏合集,2020,28,43,18,18,64.58%
31070,Relicta,2020,75,237,114,114,64.52%
31071,Hentai ASMR,2020,3,30,12,12,64.52%
