,game,release,peak_players,total_reviews,rating
38581,Home A Drone,2019-09-19,2,1,66.62
38582,Stigfinnare,2019-10-15,3,1,66.62
38586,FinalAdventure,2019-05-31,3,1,66.62
38587,PING REDUX,2019-10-16,2,1,66.62
38588,The Governor,2019-07-14,2,1,66.62
38591,Super Platformer Gun,2019-09-30,2,1,66.62
38592,GrapplingHook,2019-09-19,2,1,66.62
38595,ISLA test,2019-10-26,2,1,66.62
38596,Fairytale Mosaics Beauty and Beast,2019-12-02,3,1,66.62
38597,Infinite Sparkles,2019-11-14,2,1,66.62
38598,Lee inside TV,2019-10-31,2,1,66.62
38599,A Zone,2019-11-01,2,1,66.62
38600,Vector Light,2019-12-20,2,1,66.62
38604,Guilds Of Delenar,2019-03-22,14,11,66.6
38605,Spuds Unearthed,2019-09-19,7,11,66.6
38606,Kurr Snaga,2019-05-10,7,11,66.6
38607,Beyond the Stars VR,2019-06-05,10,11,66.6
38608,Music Killer,2019-10-31,883,124,66.59
38609,Escape from Fortress Lugohm,2019-08-16,105,27,66.59
38610,Fat Dude Simulator,2019-05-22,3,27,66.59
38611,Kissing Simulator,2019-07-15,4,24,66.59
38612,The Homestead,2019-06-10,39,7,66.57
38614,With Loneliness,2019-04-29,3,7,66.57
38617,Mini Tone,2019-07-30,6,16,66.56
38618,Ring the City,2019-07-01,100,34,66.55
38619,Gun Crazy,2019-11-12,6,28,66.52
38620,Between Planets,2019-08-03,136,22,66.51
38621,Femdom Waifu,2019-03-08,29,269,66.5
38622,Mirage Online Classic,2019-12-30,14,14,66.49
38624,Warparty,2019-03-28,164,132,66.44
38627,Tavern Tycoon,2019-03-11,151,246,66.37
38629,Make War,2019-10-16,20,24,66.33
38632,Grid Clash VR,2019-09-04,10,4,66.33
38633,Freefall 3050AD,2019-01-22,3,4,66.33
38634,The Scuttle,2019-03-26,3,4,66.33
38635,The Ploshers,2019-04-16,2,4,66.33
38637,Flyeeex,2019-10-28,7,4,66.33
38638,Frequency Garden,2019-11-11,2,4,66.33
38639,Fork Knights,2019-10-10,136,4,66.33
38643,The Paperman,2019-12-20,20,92,66.29
38644,Adventure Slime,2019-09-03,4,8,66.27
38647,Lumina,2019-10-09,13,6,66.25
38648,Atomorf,2019-08-25,5,6,66.25
38649,Desolate,2019-01-17,1832,2398,66.23
38652,Super Pixel Racers,2019-01-31,11,33,66.21
38653,Brunch Club,2019-08-29,19,16,66.21
38654,Eleanor 3,2019-08-26,114,46,66.19
38655,Diamonds,2019-06-28,19,42,66.18
38656,Meaty McSkinBones,2019-07-15,37,30,66.16
38658,VICCP,2019-06-20,32,43,66.14
38659,Bot Battles,2019-04-05,80,11,66.14
38661,Femdom Lines,2019-08-06,11,11,66.14
38662,Toilet Simulator,2019-01-18,12,156,66.12
38663,Signed and Sealed With a Kiss,2019-04-30,42,17,66.09
38664,QuietMansion2,2019-06-22,5,14,66.09
38665,BallBoi,2019-08-08,31,14,66.09
38666,Zengeon,2019-06-24,469,474,66.06
38668,Fat Prisoner Simulator 2,2019-06-14,4,37,66.02
38669,Phase Shift,2019-04-25,63,33,66.01
38670,Robot Soccer Challenge,2019-02-18,5,18,65.99
38671,Ordeal of Princess Eris,2019-06-07,216,43,65.97
38674,Dodge Bubble,2019-03-28,3,12,65.96
38676,Git Gud or Get Rekt,2019-10-20,12,12,65.96
38677,Anime Tanks Arena,2019-10-18,4,26,65.94
38678,INTERSTELLAR ROGUE,2019-06-11,5,7,65.93
38679,EEP 16 Expert,2019-11-06,27,7,65.93
38680,Technosphere,2019-04-09,3,3,65.93
38681,Korvux,2019-03-15,6,3,65.93
38682,Fantastic Creatures,2019-11-14,8,3,65.93
38683,The Polynesian Cultural Center VR Experience,2019-06-06,12,3,65.93
38684,Baby Redemption,2019-04-05,6,3,65.93
38685,Sunset Planet,2019-03-01,2,3,65.93
38686,ThunderGod,2019-05-29,7,3,65.93
38687,ChessBase 15 Steam Edition,2019-10-15,15,3,65.93
38688,Ferret Scoundrels,2019-05-09,17,3,65.93
38689,Gorgeous Elves of Ganassa,2019-09-14,5,3,65.93
38691,Ninja Roquinexu,2019-05-30,2,3,65.93
38693,Bandit Point,2019-10-11,4,3,65.93
38695,Throw The Ball In The Hole,2019-09-20,2,3,65.93
38696,Shadows and Dust,2019-09-27,14,3,65.93
38697,HalloweenStory,2019-09-23,4,3,65.93
38699,Blood will be Spilled,2019-05-29,14,19,65.89
38701,Moor,2019-12-20,4,5,65.86
38702,As We Know It,2019-05-08,4,5,65.86
38703,A Bloody Party,2019-01-25,4,5,65.86
38704,The Secret of Gillwood,2019-03-28,3,5,65.86
38705,The Chronicles of Jonah and the Whale,2019-01-08,5,5,65.86
38709,Bullet Beat,2019-11-12,2,5,65.86
38711,Seirei,2019-03-20,5,13,65.82
38713,Transporter Truck Simulator,2019-09-17,3,13,65.82
38714,RADtv,2019-08-02,6,10,65.82
38716,Beyond Shattered Isles,2019-11-12,8,10,65.82
38717,The Rest of Our Lives,2019-11-05,4,10,65.82
38718,Dude Simulator 3,2019-08-23,5006,646,65.8
38719,1001 Hugs,2019-09-26,9,24,65.8
38720,Desert Of The Dead,2019-08-12,10,132,65.75
38722,Gun Gun Pixies,2019-11-01,38,40,65.73
38723,Interpoint,2019-04-15,11,14,65.69
38726,Clazer,2019-12-04,3,8,65.67
38727,Undercrewed,2019-09-27,24,8,65.67
38728,Go All Out,2019-06-06,9,8,65.67
38729,Exosphere,2019-04-06,209,8,65.67
38731,Please The Gods,2019-07-17,12,11,65.65
38732,Thunder Paw,2019-05-07,3,11,65.65
38733,Sanctum Breach,2019-12-09,9,11,65.65
38734,Steel Sword Story,2019-06-21,11,23,65.59
38736,HEIST,2019-09-27,6,6,65.51
38738,Saloon VR,2019-05-30,5,6,65.51
38739,Night Island,2019-08-27,6,6,65.51
38740,Combate Monero,2019-05-04,3,6,65.51
38741,Sky Shepherd,2019-05-06,6,6,65.51
38742,Overseas,2019-08-30,2,6,65.51
38743,Mulite Sword Man,2019-11-07,3,6,65.51
38744,Space Mercs,2019-08-02,11,12,65.5
38745,Dodge Rocket,2019-08-26,5,12,65.5
38746,Hentai Nekogirl,2019-10-17,3,12,65.5
38747,Skyland 1976,2019-11-17,5,12,65.5
38749,Arrow Tourney,2019-09-12,16,36,65.48
38750,DriftForce,2019-04-16,13,16,65.47
38753,Trial of the Towers,2019-04-06,7,9,65.46
38754,Sandbox Anything,2019-12-19,10,9,65.46
38755,Steamcraft,2019-04-25,121,51,65.45
38757,3D Custom Lady Maker,2019-04-19,26,81,65.42
38759,Light Rider,2019-11-22,5,2,65.42
38762,mikapyon,2019-02-22,2,2,65.42
38763,Choice or Fate,2019-01-10,1,2,65.42
38764,Planet Nine,2019-02-18,5,2,65.42
38765,CONTINUE,2019-02-22,4,2,65.42
38766,OSIRIS,2019-04-23,3,2,65.42
38767,Fated Era,2019-02-11,2,2,65.42
38768,Chronicon Apocalyptica,2019-01-11,20,2,65.42
38769,Brawl,2019-01-20,5,2,65.42
38770,Sephirothic Stories,2019-03-15,3,2,65.42
38771,Spare Teeth VR,2019-12-12,3,2,65.42
38775,Butterfly 2,2019-05-07,2,2,65.42
38776,Minesweeper Peak VR,2019-05-08,3,2,65.42
38778,Underture,2019-07-10,2,2,65.42
38779,Rainbow Jigsaw,2019-07-26,3,2,65.42
38782,Ailment,2019-10-23,2,2,65.42
38783,Danger City,2019-12-20,2,2,65.42
38784,Blacksmith,2019-01-11,57,27,65.38
38785,Ego Hearts,2019-02-01,11,17,65.38
38786,Apartment 327,2019-02-22,7,4,65.38
38789,Luxor Solitaire,2019-03-06,5,4,65.38
38790,Mystery Solitaire Grimm Tales,2019-06-17,7,4,65.38
38792,Roots Of The Woods,2019-09-22,4,4,65.38
38794,Boomer Remover,2019-12-18,4,4,65.38
38796,Front Lines,2019-06-17,23,70,65.31
38797,Ghost Stories,2019-06-06,16,23,65.3
38798,General Practitioner,2019-12-13,208,72,65.29
38799,GOLD EXPRESS,2019-09-27,284,175,65.26
38800,Arc Savior,2019-01-31,4,7,65.25
38801,Elemental War,2019-07-19,9,7,65.25
38803,Foxyland 2,2019-04-17,6,7,65.25
38804,Hentai Mizugi,2019-09-13,2,7,65.25
38805,RICO,2019-03-14,166,131,65.23
38806,Kawaii Deathu Desu,2019-08-30,22,57,65.21
38808,Automation Empire,2019-11-20,4721,801,65.17
38809,The seven deadly seas,2019-09-19,9,15,65.17
38812,The Executioner,2019-09-25,176,114,65.14
38813,The Grandmaster,2019-05-14,9,11,65.14
38815,Axis Football 2019,2019-09-27,36,35,65.1
38816,RWBY Deckbuilding Game,2019-02-14,130,60,65.04
38821,Miracle Calamity Homeostasis,2019-11-28,2,8,65.03
38823,Scatteria,2019-11-08,3,5,65.0
38824,SixCubes,2019-02-19,4,5,65.0
38825,Twinship,2019-03-14,5,5,65.0
38826,Face Your Demons,2019-08-10,134,5,65.0
38829,Somewhere inside,2019-11-08,11,18,64.94
38831,Okaeri,2019-09-06,18,177,64.89
38833,Snowed IN,2019-01-25,8,9,64.87
38834,Succubus Contract,2019-04-18,8,9,64.87
38835,Ghost Parade,2019-10-31,9,9,64.87
38837,Magical MILFs,2019-10-22,16,41,64.78
38839,To The Capital 2,2019-02-20,3,1,64.78
38840,Neon Cat Tickler,2019-04-15,2,1,64.78
38841,Jar Battlers,2019-01-09,2,1,64.78
38842,Two Till Midnight,2019-09-10,3,1,64.78
38843,The Portal Dimension,2019-08-08,2,1,64.78
38844,Robozarro,2019-12-13,2,1,64.78
38845,Christmas Wonderland 2,2019-01-06,4,1,64.78
38846,RogueCraft Squadron,2019-02-18,2,1,64.78
38849,Robohazard 2077,2019-02-22,2,1,64.78
38850,Wampee Helicopters,2019-05-01,3,1,64.78
38853,BreakFest,2019-03-22,2,1,64.78
38854,BUTCHERBOX,2019-03-25,2,1,64.78
38855,Templum de Malum,2019-06-14,2,1,64.78
38858,ReflexShot,2019-05-14,3,1,64.78
38861,Hunt the Thailand Hidden,2019-06-20,2,1,64.78
38862,Pumpkin Dog Islands,2019-06-11,4,1,64.78
38863,Everything is Mayo,2019-09-15,2,1,64.78
38864,The Last Escape of Yeti,2019-06-28,1,1,64.78
38865,Hentai Girls Mosaic,2019-07-16,2,1,64.78
38867,Nauseous Pines,2019-11-08,2,1,64.78
38868,Voidlifted,2019-11-18,3,1,64.78
38869,Dark Veer,2019-10-24,2,1,64.78
38870,Supesu 2,2019-10-15,2,1,64.78
38871,Seek Hearts,2019-12-04,5,1,64.78
38872,Tower Climb,2019-12-11,2,1,64.78
38873,The Time of Awakening,2019-12-11,2,1,64.78
38876,Alvastia Chronicles,2019-01-18,6,3,64.76
38877,Dragon Roller Coaster VR,2019-01-25,6,3,64.76
38878,WEJAM,2019-10-24,5,3,64.76
38879,Trace of the past,2019-08-05,3,3,64.76
38881,Temply Girls,2019-10-11,3,3,64.76
38882,Ocean Drive Challenge Remastered,2019-12-27,2,3,64.76
38884,Cyndy,2019-05-16,39,67,64.73
38885,Nomads of the Fallen Star,2019-01-31,14,10,64.73
38886,Party Pumper,2019-11-21,5,10,64.73
38887,Chocolat Rush,2019-07-25,4,6,64.73
38889,The explorer of night,2019-03-22,3,6,64.73
38892,Led It Rain VR,2019-07-12,4,6,64.73
38893,Blank,2019-12-17,5,6,64.73
38894,Super Friends Party,2019-06-14,162,129,64.69
38895,Road to Eden,2019-02-28,58,124,64.69
38896,Forgiveness,2019-02-28,34,34,64.69
38899,PC Futbol Stars,2019-11-07,39,25,64.64
38901,Red Room,2019-08-24,3,11,64.62
38902,Witch Ring Meister,2019-04-19,13,11,64.62
38904,Monster Jam Steel Titans,2019-06-25,82,106,64.59
38906,Cyberpunk Sex Simulator,2019-11-02,7,42,64.58
38908,SNOW,2019-02-14,2779,4164,64.55
38909,Save Koch,2019-04-18,49,46,64.55
38910,Planet Nomads,2019-05-03,372,676,64.54
38911,Dancing Girl,2019-06-28,94,344,64.52
38913,Escape Velocity,2019-01-12,7,7,64.52
38914,Profundum,2019-01-18,6,7,64.52
38915,Wacktory,2019-09-13,5,7,64.52
38916,My Car,2019-03-05,21,135,64.49
38917,eBall,2019-05-21,10,32,64.49
38921,Zombie Apocalypse,2019-03-09,6,13,64.44
38922,Angry Golf,2019-09-13,4,13,64.44
38923,Hentai Pix,2019-09-30,9,13,64.44
38925,Hyperborea,2019-05-10,16,8,64.36
38926,Ruination,2019-03-08,4,8,64.36
38927,Gyro Boss DX,2019-03-22,3,4,64.35
38928,Blood Moon,2019-04-26,4,4,64.35
38929,GunBlaze,2019-10-15,5,4,64.35
38930,RANK RUNNER,2019-08-02,3,4,64.35
38932,Inner,2019-08-15,2,4,64.35
38933,Super Rebellion,2019-11-15,2,4,64.35
38934,Exteme School Driving Simulator,2019-02-06,43,26,64.33
38938,Surprising My Neighbors,2019-04-26,4,15,64.32
38939,Urban Trial Playground,2019-04-05,17,30,64.28
38940,Winter Solitaire,2019-03-08,5,9,64.24
38941,Hentai beautiful girls 2,2019-04-19,3,9,64.24
38943,Arena Stars,2019-04-11,89,36,64.23
38944,Hentai Survive Island,2019-05-03,23,60,64.21
38945,Tiny Tanks,2019-04-11,76,39,64.21
38946,aMAZE Lunar,2019-02-26,3,19,64.17
38947,Hentai Cuties,2019-08-18,4,10,64.14
38948,Artist Idle,2019-01-18,516,141,64.1
38949,Holy Road,2019-04-12,262,66,64.09
38951,Weekend Drive,2019-03-14,2,0,64.08
38952,A World With No Colour,2019-11-01,2,0,64.08
38953,Demolition,2019-09-05,1,0,64.08
38954,Penguins of The North,2019-08-09,5,0,64.08
38955,Acid Flip,2019-02-26,5130,0,64.08
38956,WyVRn,2019-12-13,2,0,64.08
38958,Battlemaster,2019-11-15,1,0,64.08
38959,Moon Bus,2019-09-06,3,0,64.08
38960,The Deepest House,2019-03-18,2,0,64.08
38961,Lexie The Takeover,2019-08-26,2,0,64.08
38962,Free At Last,2019-11-02,3,0,64.08
38963,Existence,2019-08-22,2,0,64.08
38964,Six Second Slam,2019-02-05,2,0,64.08
38965,Action Card Football,2019-01-19,3,0,64.08
38967,Project Z,2019-10-29,2,0,64.08
38968,Quantum Covenant,2019-01-18,4,0,64.08
38969,Cave Racer,2019-03-01,3,0,64.08
38971,Death Cave,2019-02-24,1,0,64.08
38972,Refraction,2019-02-20,2,0,64.08
38974,A Sound Plan,2019-04-30,4,0,64.08
38975,Assault On Metaltron,2019-06-13,2,0,64.08
38977,Neon Blast,2019-04-15,3,0,64.08
38978,Parity,2019-12-18,4,0,64.08
38979,Paradigm Blast,2019-01-18,4,0,64.08
38980,Just Roll With It,2019-08-06,2,0,64.08
38981,Walk On The Ground Simulator,2019-07-19,2,0,64.08
38982,happybluebear,2019-02-04,1,0,64.08
38983,Fant Kids Animated Puzzle,2019-04-03,2,0,64.08
38986,Run Away,2019-02-05,1,0,64.08
38987,Bruken,2019-04-11,1,0,64.08
38988,GUIDE,2019-04-16,2,0,64.08
38989,Space Digger,2019-12-19,2,0,64.08
38991,Bewildebots,2019-06-04,1,0,64.08
38992,Deadly Kingdom,2019-03-01,1,0,64.08
38993,TRIDENT BARRAGE,2019-02-28,2,0,64.08
38994,Drumpfy Walls,2019-04-20,2,0,64.08
38995,Brix VR,2019-03-29,1,0,64.08
38996,Cartacombs,2019-02-20,1,0,64.08
38998,Murder Machine Mini,2019-04-07,2,0,64.08
38999,Keystones,2019-03-01,2,0,64.08
39000,Fruit Crawler,2019-07-05,2,0,64.08
39002,Table Games VR,2019-04-05,2,0,64.08
39003,Alien Cow Farm,2019-05-31,2,0,64.08
39005,SpaceBullet,2019-03-20,2,0,64.08
39006,Frame Of Reference,2019-08-15,1,0,64.08
39007,Kim Shooter,2019-07-16,2,0,64.08
39008,You Versus 27 Elves,2019-03-26,2,0,64.08
39009,Ogrez,2019-06-19,1,0,64.08
39010,TimeFall,2019-04-30,2,0,64.08
39011,The Volcano,2019-10-19,1,0,64.08
39014,RockaBowling VR,2019-05-10,2,0,64.08
39015,Fishy Dungeon Delving,2019-05-06,2,0,64.08
39016,Eternal Concord,2019-09-12,2,0,64.08
39017,Island Town Zombie Paradise,2019-04-26,2,0,64.08
39018,Mahjong Infinity,2019-06-07,5,0,64.08
39019,Moon Pool,2019-04-18,1,0,64.08
39022,DomiDo,2019-05-14,2,0,64.08
39023,MonteCube Dodge,2019-04-22,1,0,64.08
39024,Deadly Path,2019-05-14,2,0,64.08
39025,Helm Realm,2019-11-25,3,0,64.08
39026,Peku,2019-05-04,1,0,64.08
39028,Tiny World,2019-05-21,2,0,64.08
39030,Adventure of Great Wolf,2019-05-31,2,0,64.08
39031,Idunn Gurdians,2019-08-22,1,0,64.08
39032,Chernomeat Survival Game,2019-05-23,3,0,64.08
39035,BloXoR,2019-05-27,1,0,64.08
39036,Humans 101,2019-08-13,2,0,64.08
39037,Tale Of Starship,2019-11-15,2,0,64.08
39039,Dark Skeleton Survival,2019-05-28,1,0,64.08
39040,Purple Noise Echo,2019-10-01,2,0,64.08
39041,DestructoPod,2019-07-25,2,0,64.08
39043,Coffee Runner Black and Mocha,2019-07-23,1,0,64.08
39045,Roopocket,2019-09-19,3,0,64.08
39047,Drones,2019-11-15,3,0,64.08
39048,Everyone Goes Home,2019-07-30,1,0,64.08
39049,Anticorps VR,2019-07-30,2,0,64.08
39051,The Legend of Viccess,2019-10-01,2,0,64.08
39052,ThreeStep,2019-10-18,1,0,64.08
39053,Stupid Bat,2019-07-09,2,0,64.08
39056,Over Sky,2019-07-12,2,0,64.08
39057,Paradox Escape Route,2019-10-23,2,0,64.08
39058,Champions,2019-07-24,2,0,64.08
39059,8bit Pigeon Hunter,2019-07-17,1,0,64.08
39061,Fortune Telling,2019-07-27,4,0,64.08
39063,Flutter Bombs,2019-11-14,4,0,64.08
39064,ARC,2019-08-29,1,0,64.08
39065,Aura Shift,2019-08-14,2,0,64.08
39066,moofa,2019-09-30,2,0,64.08
39067,Strazeal,2019-08-26,3,0,64.08
39068,Ebullition LBVR,2019-09-19,4,0,64.08
39069,Flip Polygon,2019-08-21,2,0,64.08
39070,Smaller,2019-11-24,1,0,64.08
39072,Mystic Mayhem Unleashed,2019-08-20,1,0,64.08
39073,Platforms,2019-08-30,2,0,64.08
39074,Try not to die,2019-11-04,1,0,64.08
39075,Battle Dome Redux,2019-11-26,5,0,64.08
39076,Protect Your Fool,2019-11-26,2,0,64.08
39081,Boardwalk Carnival Game,2019-10-28,1,0,64.08
39082,Nightmare Cave,2019-09-12,1,0,64.08
39083,Austerlitz,2019-10-03,2,0,64.08
39085,Dead Simple 21,2019-09-30,1,0,64.08
39086,Waterloo,2019-10-04,2,0,64.08
39087,Ball Pit Simulator,2019-11-01,3,0,64.08
39088,Foreign,2019-10-07,1,0,64.08
39089,Rain of Fire,2019-10-28,3,0,64.08
39090,ALPHA,2019-11-01,3,0,64.08
39092,ArachnoSplat,2019-11-15,1,0,64.08
39094,Dinodrifters,2019-12-21,2,0,64.08
39096,BOX,2019-11-23,1,0,64.08
39098,Snowman,2019-11-26,1,0,64.08
39099,ASTROPUPPA,2019-12-06,1,0,64.08
39101,The Knight of the Crimson Tower,2019-11-20,2,0,64.08
39103,HABITKING RPG,2019-12-30,2,0,64.08
39105,Aigor Escape from Bishop,2019-12-25,2,0,64.08
39107,The Mirum,2019-02-01,3,5,64.07
39108,Delirium VR,2019-03-26,3,5,64.07
39111,Repressed,2019-09-26,6,5,64.07
39114,Lornsword Winter Chronicle,2019-10-23,5,11,64.06
39116,MMA Arena,2019-05-07,27,26,64.05
39117,HENTAI SUPER GIRL,2019-02-14,244,46,64.02
39118,RUCKBALL,2019-05-17,40,30,64.02
39119,Front Defense Heroes,2019-05-15,38,40,64.01
39121,MeiQi Season1,2019-09-29,20,38,64.01
39123,Horse Riding Deluxe,2019-04-17,9,12,64.0
39124,Battle Royale Builder,2019-01-11,9,12,64.0
39125,A Planet of Mine,2019-12-10,7,12,64.0
39128,Chasing the Stars,2019-01-23,19,14,63.91
39130,Arkady Survive,2019-05-24,3,2,63.89
39131,Monads,2019-02-15,5,2,63.89
39132,Fantasy Girl Puzzle,2019-05-25,2,2,63.89
39133,Invaders from Dimension X,2019-01-24,5,2,63.89
39134,Ritual of the Moon,2019-04-19,2,2,63.89
39135,soul room,2019-01-07,2,2,63.89
39136,The Childs Sight,2019-03-28,2,2,63.89
39141,Edge of Galaxy,2019-03-15,3,2,63.89
39142,Virtual Arctic Expedition,2019-04-06,13,2,63.89
39143,Crazy Ball,2019-05-13,2,2,63.89
39146,Yume Puzzle,2019-05-28,2,2,63.89
39147,Speakerman,2019-06-17,2,2,63.89
39148,Bepuzzled Kittens Jigsaw Puzzle,2019-06-11,2,2,63.89
39149,WBTR,2019-07-27,4,2,63.89
39150,Police Stunt Cars,2019-08-09,3,2,63.89
39151,VR Puzzle Box,2019-09-11,3,2,63.89
39152,1942,2019-10-08,5,2,63.89
39153,Robot Vacuum Simulator X,2019-08-15,4,2,63.89
39154,Murgles,2019-10-29,3,2,63.89
39155,Hexadrift,2019-11-21,2,2,63.89
39156,Euclidean Skies,2019-02-05,21,15,63.88
39157,Elendia Ceus,2019-07-26,1061,6,63.88
39158,The Queen of Blackwood High,2019-02-15,7,6,63.88
39161,Bad Business,2019-07-24,3,6,63.88
39162,HANGMAN,2019-07-24,3,6,63.88
39163,Rescue Team 8,2019-08-30,10,6,63.88
39165,ONINAKI,2019-08-22,689,134,63.86
39166,HentaiNYA,2019-05-21,5,16,63.85
39167,Vainglory,2019-02-13,1866,1461,63.83
39168,Breeding Village,2019-04-19,13,44,63.83
39169,Hentai Oppai,2019-04-19,2,17,63.83
39170,Punch Line,2019-05-23,12,18,63.81
39171,Top Burger,2019-04-24,5,18,63.81
39175,Evil Maze 2,2019-03-08,21,31,63.76
39176,Time Break,2019-04-27,25,23,63.76
39177,Aetheria Online,2019-02-01,65,27,63.75
39179,WellTown,2019-01-29,11,7,63.75
39180,Drive for Your Life,2019-04-11,5,7,63.75
39181,PULSOR,2019-05-10,5,7,63.75
39182,Rotatex,2019-06-21,12,7,63.75
39184,Stellar Survivor,2019-06-20,28,55,63.74
39185,Trials Rising,2019-02-26,1760,814,63.67
39186,Xenon Racer,2019-03-26,137,203,63.66
39187,Bone Voyage,2019-06-24,41,117,63.65
39188,Snow Jewels,2019-05-30,5,8,63.65
39189,Telling Lies,2019-08-23,687,354,63.64
39190,Eden Rising,2019-05-17,1387,484,63.6
39191,FIA European Truck Racing Championship,2019-07-18,124,92,63.6
39192,Dement,2019-10-31,3,9,63.58
39193,Unfamiliar,2019-12-13,9,9,63.58
39195,I LIKE THE FLOWERS,2019-12-07,2,10,63.53
39196,Swords and Sandals Spartacus,2019-12-22,4,10,63.53
39197,Hentai House,2019-08-29,12,30,63.49
39199,Axiom Soccer,2019-04-11,159,133,63.48
39200,Placebo Effect,2019-05-03,2,3,63.45
39201,Battlemage,2019-01-02,4,3,63.45
39202,Salio,2019-03-22,6,3,63.45
39203,Woodboy,2019-05-28,2,3,63.45
39204,SubmarineCraft,2019-02-07,5,3,63.45
39205,Tess Elated,2019-02-14,4,3,63.45
39208,Dragon Chase,2019-01-31,6,3,63.45
39211,Minda,2019-09-08,4,3,63.45
39212,Cardlings,2019-06-05,8,3,63.45
39213,Continuum,2019-05-23,4,3,63.45
39214,Corridor Crusaders,2019-11-28,6,3,63.45
39215,I Am Gooey,2019-08-27,2,3,63.45
39217,Fantasy Gladiators,2019-08-27,13,3,63.45
39219,4islands,2019-10-20,4,3,63.45
39220,ZLM Crafter,2019-10-31,2,3,63.45
39221,The Battles of Spwak 3,2019-12-06,2,3,63.45
39222,Please Find Me,2019-06-28,6,13,63.44
39223,Twin Peaks VR,2019-12-13,9,13,63.44
39224,ART SQOOL,2019-02-05,24,56,63.43
39225,Boy Teen Dream,2019-01-24,8,21,63.42
39226,Artificial Iridescence,2019-09-04,3,15,63.42
39227,Taste of Power,2019-10-10,8,20,63.41
39228,Lady and Blade,2019-09-04,27,19,63.41
39229,Pet Chan,2019-12-18,7,17,63.41
39230,Startup Freak,2019-10-19,46,16,63.41
39231,Rummy 3D Premium,2019-06-24,16,16,63.41
39232,DayBreak Online,2019-06-13,203,84,63.4
39233,Lesbian Breakout,2019-11-07,10,29,63.21
39235,Radical Rex,2019-03-07,2,4,63.21
39236,GACHIMUCHI The Card Game,2019-03-08,4,4,63.21
39238,Hentai Pair,2019-08-09,2,4,63.21
39239,KUMACURE,2019-05-31,2,4,63.21
39240,Timothy and the Mysterious Forest,2019-09-25,3,4,63.21
39241,Witch College,2019-07-30,3,4,63.21
39242,My Haunted Doll,2019-11-22,2,4,63.21
39243,Black Smith,2019-12-18,4,4,63.21
39244,Kanojo x Switch,2019-12-29,3,4,63.21
39247,Dino Zoo Transport Simulator,2019-09-23,5,28,63.19
39249,Hentai Fetish Tycoon,2019-12-06,27,39,63.15
39250,Forged of Blood,2019-08-01,183,38,63.13
39251,Cemetery Warrior 4,2019-10-02,200,25,63.13
39252,Football Drama,2019-09-18,28,24,63.11
39253,Our Lovely Escape,2019-09-30,39,23,63.09
39254,Night Sing,2019-07-19,36,54,63.07
39255,Cecconoid,2019-10-08,3,5,63.06
39256,Wanderfog,2019-07-17,7,5,63.06
39257,Slay All Goblins,2019-01-16,5,5,63.06
39259,Super Orb Collector,2019-02-25,2,5,63.06
39260,Back to 1998,2019-04-15,4,5,63.06
39261,Hentai Girl Run,2019-05-07,3,5,63.06
39262,AGENT 00111,2019-07-03,3,5,63.06
39263,Gamehunt,2019-06-11,2,5,63.06
39264,Monsters sandbox,2019-12-12,4,5,63.06
39265,The Secret of Hutton Grammar School,2019-12-10,3,5,63.06
39266,Countersnipe,2019-12-05,103,122,63.05
39268,Deviant Dungeon,2019-01-30,26,34,63.04
39269,Fighters Legacy,2019-08-01,6,20,63.03
39270,Virtual Hero VR,2019-06-17,13,20,63.03
39271,Traffix,2019-07-08,7,20,63.03
39272,The Shedding,2019-01-22,4,18,63.0
39273,Jigsaw Masterpieces,2019-03-12,30,17,62.98
39274,Haxor,2019-04-12,5,6,62.98
39275,Psychose,2019-08-05,4,6,62.98
39276,Old Town Stories,2019-12-07,5,6,62.98
39277,Recyclomania,2019-08-28,3,6,62.98
39278,aMAZE Gears 2,2019-11-04,3,6,62.98
39279,A Long Stroll,2019-12-09,2,6,62.98
39280,Herd is Coming,2019-06-10,7,16,62.96
39282,reYal,2019-05-30,3,7,62.93
39283,The Renovator,2019-04-17,5,29,62.92
39284,aMAZE Easter,2019-03-27,6,14,62.92
39285,The Wanderer,2019-01-25,2600,13,62.91
39288,Hentai Strawberry,2019-03-15,4,8,62.9
39289,Blacksmith Run,2019-04-19,3,8,62.9
39290,SwarmZ,2019-11-29,62,99,62.89
39291,Creature Card Idle,2019-12-22,66,28,62.89
39292,Dungeons of the Fallen,2019-10-05,15,11,62.89
39293,Call of Fries,2019-06-10,4,11,62.89
39294,Blessed Surface,2019-02-27,5,10,62.88
39295,7 Lives,2019-06-20,3,10,62.88
39296,Sacred Siren,2019-09-02,4,10,62.88
39297,Bot Land,2019-09-04,48,27,62.87
39298,Sacred Sword Princesses,2019-11-06,285,193,62.84
39300,HENTAI CLIMBER,2019-11-01,8,69,62.78
39302,WildKids,2019-08-27,10,23,62.75
39303,Project RIP,2019-10-12,22,40,62.73
39304,The Dead Tree of Ranchiuna,2019-02-14,4,22,62.71
39307,Land Of The Void,2019-03-06,28,20,62.64
39308,Eggoria,2019-06-07,38,20,62.64
39310,Allspace,2019-10-18,12,19,62.61
39311,Embark,2019-04-18,243,128,62.57
39312,Detective Sherlock Pug,2019-02-01,6,18,62.57
39313,Most Correct Football Simulator,2019-05-21,26,18,62.57
39314,Space Survivors Shooter,2019-04-19,3,1,62.51
39317,DangerSpace,2019-09-05,2,1,62.51
