,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
8435,Stationeers,/app/544550/,Dec 12 2017,"1,485","4,437",874,874,81.01%
8436,Reflex Arena,/app/328070/,Mar 8 2017,240,"1,304",233,233,81.01%
8437,Belko VR: An Escape Room Experiment,/app/600140/,Mar 3 2017,41,560,90,90,81.01%
8438,Solaroids,/app/602080/,May 26 2017,13,42,2,2,81.00%
8439,Boinks,/app/731560/,Nov 27 2017,6,42,2,2,81.00%
8440,Cooking Witch,/app/514580/,May 18 2017,"1,201",200,26,26,80.98%
8441,Plasma Puncher,/app/602070/,May 11 2017,91,65,5,5,80.98%
8442,First Strike: Classic,/app/587000/,May 31 2017,159,"1,144",203,203,80.94%
8443,Asura: Vengeance Edition,/app/524640/,Apr 14 2017,456,577,94,94,80.92%
8444,Play With Gilbert - Remake,/app/740040/,Nov 15 2017,11,112,12,12,80.90%
8445,BlobCat,/app/613210/,Aug 31 2017,26,57,4,4,80.90%
8446,VALKYRIE DRIVE -BHIKKHUNI-,/app/550080/,Jun 20 2017,524,955,167,167,80.88%
8447,Strike Vector EX,/app/476360/,Jul 19 2017,132,644,107,107,80.88%
8448,aMAZE 2,/app/628750/,Apr 21 2017,"5,735",654,109,109,80.87%
8449,Serious Sam VR: The Last Hope,/app/465240/,Sep 20 2017,362,"1,122",200,200,80.86%
8450,Eye in the Sky,/app/566700/,Dec 5 2017,8,85,8,8,80.85%
8451,Splat the Blob,/app/701900/,Oct 6 2017,7,85,8,8,80.85%
8452,A Rose in the Twilight,/app/548840/,Apr 11 2017,51,390,60,60,80.84%
8453,Blink,/app/447210/,Mar 10 2017,39,71,6,6,80.84%
8454,Alien Shooter TD,/app/541230/,Jan 13 2017,"1,032",657,110,110,80.83%
8455,WayOut 2: Hex,/app/585950/,Feb 10 2017,"1,863",306,45,45,80.82%
8456,Alpacapaca Dash,/app/579230/,Jan 24 2017,"1,606",167,21,21,80.82%
8457,Swarm Queen,/app/701870/,Dec 19 2017,24,167,21,21,80.82%
8458,Once on a windswept night,/app/585880/,Feb 6 2017,18,136,16,16,80.79%
8459,Princess Evangile W Happiness - Steam Edition,/app/632710/,Jul 28 2017,66,56,4,4,80.76%
8460,Mutiny!!,/app/669050/,Oct 20 2017,324,219,30,30,80.75%
8461,Yissa Deep Realms,/app/750960/,Nov 23 2017,22,70,6,6,80.72%
8462,Dimensional Rift,/app/580630/,Feb 9 2017,7,32,1,1,80.72%
8463,GORB,/app/612310/,Apr 7 2017,5,32,1,1,80.72%
8464,Sidewords,/app/682230/,Sep 7 2017,33,32,1,1,80.72%
8465,DUNGEONS OF CHAOS,/app/613390/,Sep 15 2017,66,141,17,17,80.71%
8466,Fruity Smoothie,/app/763230/,Dec 21 2017,80,183,24,24,80.70%
8467,In The Shadows,/app/470580/,Oct 20 2017,8,48,3,3,80.69%
8468,Hide and Shriek,/app/480430/,Oct 19 2017,"1,028","3,870",776,776,80.68%
8469,Psebay,/app/608660/,Jul 12 2017,"1,014",103,11,11,80.68%
8470,Lost Technology,/app/420520/,Aug 9 2017,92,427,68,68,80.66%
8471,M.A.X.: Mechanized Assault & Exploration,/app/615250/,Apr 7 2017,34,128,15,15,80.66%
8472,Blackout Z: Slaughterhouse Edition,/app/729660/,Oct 20 2017,168,"1,408",262,262,80.64%
8473,7 days with Death,/app/617820/,Oct 14 2017,10,55,4,4,80.62%
8474,TrainerVR,/app/763790/,Dec 27 2017,7,55,4,4,80.62%
8475,Hyperun,/app/565390/,Sep 8 2017,26,76,7,7,80.61%
8476,Super Cloudbuilt ,/app/463700/,Jul 25 2017,57,244,35,35,80.59%
8477,Expeditions: Viking,/app/445190/,Apr 27 2017,"2,901","2,979",592,592,80.57%
