,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
11956,The Journey: Bob's Story.,/app/385410/,Sep 8 2017,980,17,11,11,56.83%
11957,Tomorrow,/app/405480/,Feb 8 2017,8,17,11,11,56.83%
11958,Boiling Bolt,/app/462250/,Dec 5 2017,127,17,11,11,56.83%
11959,Hearts of Chaos,/app/555410/,Jan 6 2017,587,17,11,11,56.83%
11960,Lost Shipwreck,/app/696250/,Sep 29 2017,6,17,11,11,56.83%
11961,ZhanDou,/app/721890/,Oct 27 2017,13,17,11,11,56.83%
11962,Autobahn Police Simulator 2,/app/483770/,Dec 7 2017,209,672,492,492,56.81%
11963,Expelled,/app/727530/,Nov 1 2017,14,48,33,33,56.80%
11964,Disco Time 80s VR,/app/649880/,Jun 7 2017,6,41,28,28,56.80%
11965,Inmates,/app/634120/,Oct 5 2017,20,162,116,116,56.75%
11966,From Shadows,/app/582920/,Aug 10 2017,814,24,16,16,56.73%
11967,Guppy,/app/698500/,Nov 21 2017,4,24,16,16,56.73%
11968,Survival Zombies The Inverted Evolution,/app/440730/,May 8 2017,204,571,419,419,56.71%
11969,Fallen Times,/app/712810/,Oct 9 2017,5,63,44,44,56.71%
11970,Shiness: The Lightning Kingdom,/app/366640/,Apr 18 2017,190,270,196,196,56.69%
11971,Shoot Mania VR: Fun Zombies,/app/496960/,Feb 17 2017,11,14,9,9,56.69%
11972,A-Escape VR,/app/538330/,Mar 31 2017,5,14,9,9,56.69%
11973,Lemuria: Lost in Space,/app/563250/,Mar 17 2017,49,14,9,9,56.69%
11974,Biotoxin: The Dark Days,/app/601870/,Mar 2 2017,203,14,9,9,56.69%
11975,Nightingale Downs,/app/727220/,Oct 23 2017,3,14,9,9,56.69%
11976,The adventure of Kroos,/app/747330/,Dec 7 2017,6,14,9,9,56.69%
11977,Trivia Vault: 1980's Trivia,/app/689180/,Aug 16 2017,4,60,42,42,56.64%
11978,Princess Maker 3: Fairy Tales Come True,/app/650110/,Jun 27 2017,79,169,122,122,56.61%
11979,3D Hardcore Cube 2,/app/754510/,Dec 18 2017,3,35,24,24,56.60%
11980,The God Paradox,/app/636330/,Sep 19 2017,11,21,14,14,56.60%
11981,SEGFAULT,/app/715290/,Nov 18 2017,24,21,14,14,56.60%
11982,Soul Saber 2,/app/581230/,Mar 16 2017,41,139,100,100,56.59%
11983,Hurricane,/app/503240/,Mar 6 2017,"1,722",94,67,67,56.57%
11984,Hunter's Grimm,/app/577460/,Mar 3 2017,"3,605",174,126,126,56.56%
11985,A SECOND BEFORE US,/app/625370/,May 11 2017,"2,473",57,40,40,56.56%
11986,Girls and Dungeons,/app/695760/,Sep 8 2017,12,39,27,27,56.53%
11987,Startide,/app/598500/,Sep 8 2017,4,11,7,7,56.53%
11988,Paddle Battle,/app/655630/,Oct 25 2017,2,11,7,7,56.53%
11989,DUELEUM,/app/689830/,Sep 15 2017,15,11,7,7,56.53%
11990,Modest Kind,/app/701740/,Dec 21 2017,3,11,7,7,56.53%
11991,Lumberjack VR,/app/704310/,Oct 13 2017,56,11,7,7,56.53%
11992,Vitamin Girl,/app/718910/,Oct 11 2017,2,11,7,7,56.53%
11993,Train Station Simulator,/app/738610/,Dec 14 2017,49,148,107,107,56.52%
11994,Sonny,/app/586750/,Apr 18 2017,120,226,165,165,56.51%
11995,Knightfall™: Rivals,/app/587460/,Jul 20 2017,40,58,41,41,56.44%
11996,Ultimus bellum,/app/566430/,Nov 8 2017,"1,500",18,12,12,56.44%
11997,RoboMatch,/app/600210/,Mar 31 2017,990,36,25,25,56.41%
11998,Wrath of Loki VR Adventure,/app/650860/,Nov 16 2017,10,36,25,25,56.41%
11999,Lost in the tomb,/app/732070/,Nov 10 2017,3,29,20,20,56.36%
12000,Hitbox,/app/341890/,Jan 30 2017,56,78,56,56,56.33%
12001,Champions of Odin,/app/479200/,Aug 25 2017,3,8,5,5,56.32%
12002,Lotia®,/app/552540/,Jun 3 2017,20,8,5,5,56.32%
12003,The Fleet,/app/648020/,Jun 16 2017,8,8,5,5,56.32%
12004,Renegade Grounds: Episode 1,/app/661670/,Sep 1 2017,69,8,5,5,56.32%
12005,AddForce,/app/681950/,Sep 22 2017,3,8,5,5,56.32%
12006,Parking Cop Simulator,/app/706030/,Dec 15 2017,3,8,5,5,56.32%
12007,Lantern of Worlds,/app/712070/,Oct 5 2017,3,8,5,5,56.32%
12008,Brink of Extinction,/app/748930/,Nov 30 2017,5,8,5,5,56.32%
12009,Mystery Case Files: The Revenant's Hunt Collector's Edition,/app/749080/,Nov 21 2017,6,8,5,5,56.32%
12010,The Resistance,/app/752690/,Dec 8 2017,2,8,5,5,56.32%
12011,EVE: Valkyrie - Warzone,/app/688480/,Sep 26 2017,156,233,172,172,56.30%
12012,Waking the Glares,/app/568470/,Mar 17 2017,12,22,15,15,56.29%
12013,Prisoner,/app/653210/,Jul 17 2017,20,22,15,15,56.29%
12014,Creeping Terror,/app/726430/,Oct 31 2017,4,22,15,15,56.29%
12015,Unhappy Ever After,/app/552350/,Jan 20 2017,147,15,10,10,56.25%
12016,Dragon Essence - Color My World -,/app/603380/,Jun 8 2017,6,15,10,10,56.25%
12017,RGBverse,/app/604950/,Apr 7 2017,5,15,10,10,56.25%
12018,SoulFrost,/app/675220/,Aug 1 2017,2,15,10,10,56.25%
12019,Haunted Dungeons: Hyakki Castle,/app/686740/,Nov 15 2017,34,15,10,10,56.25%
12020,YAGZZ!,/app/709720/,Sep 25 2017,2,15,10,10,56.25%
12021,La Tale - Evolved,/app/721030/,Nov 30 2017,149,260,193,193,56.22%
12022,Evil Possession,/app/620700/,May 17 2017,8,60,43,43,56.21%
12023,Deadhold,/app/346930/,Aug 25 2017,18,26,18,18,56.20%
12024,Yandere School,/app/687750/,Sep 1 2017,17,210,156,156,56.13%
12025,Ominous Tales: The Forsaken Isle,/app/645410/,Jun 19 2017,9,19,13,13,56.10%
12026,Dinosaur Forest,/app/506730/,May 17 2017,687,388,292,292,56.07%
12027,Genghis Khan,/app/521650/,Jan 24 2017,13,5,3,3,56.05%
12028,NOBUNAGA'S AMBITION: Zenkokuban,/app/521660/,Jan 24 2017,17,5,3,3,56.05%
12029,Vienna Automobile Society,/app/539560/,Sep 15 2017,5,5,3,3,56.05%
12030,Wanderer: The Rebirth,/app/568250/,Jan 12 2017,3,5,3,3,56.05%
12031,Atramentum VR,/app/577780/,Mar 17 2017,2,5,3,3,56.05%
12032,Mystery Tales: The Lost Hope Collector's Edition,/app/591580/,Feb 22 2017,5,5,3,3,56.05%
12033,Drift 7 Islands,/app/592740/,Mar 7 2017,2,5,3,3,56.05%
12034,Planet Defender,/app/593260/,Mar 30 2017,4,5,3,3,56.05%
12035,Violent killer VR,/app/602130/,Mar 17 2017,4,5,3,3,56.05%
12036,Outer Rim,/app/604640/,Mar 31 2017,2,5,3,3,56.05%
12037,Dark,/app/607190/,Jul 28 2017,7,5,3,3,56.05%
12038,Conran - The dinky Raccoon,/app/612150/,Apr 13 2017,7,5,3,3,56.05%
12039,Cryptocracy,/app/612380/,Apr 11 2017,4,5,3,3,56.05%
12040,Shadows in the Darkness,/app/626020/,Oct 19 2017,5,5,3,3,56.05%
12041,Sorgina: A Tale of Witches,/app/627420/,May 30 2017,25,5,3,3,56.05%
12042,Weather Lord,/app/637920/,Jun 8 2017,99,5,3,3,56.05%
12043,OfficeBotsVR,/app/649730/,Aug 21 2017,2,5,3,3,56.05%
12044,Fight Sparring VR,/app/665730/,Jul 24 2017,2,5,3,3,56.05%
12045,Underdone,/app/666040/,Sep 13 2017,2,5,3,3,56.05%
12046,Outracer,/app/669350/,Aug 15 2017,2,5,3,3,56.05%
12047,SuperWurfels,/app/672880/,Sep 9 2017,2,5,3,3,56.05%
12048,Ruby Hunter,/app/675870/,Oct 20 2017,4,5,3,3,56.05%
12049,2D Mahjong Temple,/app/685770/,Aug 17 2017,3,5,3,3,56.05%
12050,Star Waker,/app/693090/,Aug 25 2017,6,5,3,3,56.05%
12051,Celtabula,/app/706200/,Sep 17 2017,2,5,3,3,56.05%
12052,Interworlds,/app/710240/,Oct 24 2017,2,5,3,3,56.05%
12053,Corridor 15 First,/app/732040/,Nov 29 2017,3,5,3,3,56.05%
12054,Time Killers: CatchOut,/app/735520/,Oct 31 2017,2,5,3,3,56.05%
12055,CG the Seven Virus Knights,/app/753240/,Dec 5 2017,2,5,3,3,56.05%
12056,THE BOX VR,/app/756650/,Dec 7 2017,4,5,3,3,56.05%
12057,Stage Presence,/app/391640/,Feb 28 2017,97,23,16,16,56.02%
12058,Defend Your Castle,/app/708710/,Oct 18 2017,9,23,16,16,56.02%
12059,Titanic: The Experience,/app/727910/,Oct 30 2017,9,160,119,119,56.00%
12060,The Albatross,/app/581600/,Feb 16 2017,"2,768",66,48,48,56.00%
12061,Battle of Frigates,/app/711320/,Sep 21 2017,51,62,45,45,56.00%
12062,Behind You,/app/397660/,Feb 21 2017,2,12,8,8,56.00%
12063,Crimson Sword Saga: The Peloran Wars,/app/497560/,Jan 6 2017,855,12,8,8,56.00%
12064,Tank Battle: 1945,/app/540250/,Feb 16 2017,5,12,8,8,56.00%
12065,A Country Of One,/app/598720/,May 31 2017,5,12,8,8,56.00%
12066,Virtually Impossible,/app/621780/,Apr 13 2017,10,12,8,8,56.00%
12067,Autumn Night 3D Shooter,/app/581730/,May 9 2017,4,27,19,19,55.97%
12068,No70: Eye of Basir,/app/370440/,Jun 28 2017,41,199,149,149,55.95%
12069,Torn Tales,/app/388960/,Jan 17 2017,"2,256",31,22,22,55.94%
12070,Club Manager 2017,/app/507300/,Mar 24 2017,93,31,22,22,55.94%
12071,Reaping Rewards,/app/563470/,Jun 9 2017,9,35,25,25,55.92%
12072,Joumee The Hedgehog,/app/673220/,Nov 23 2017,5,35,25,25,55.92%
12073,Bubsy: The Woolies Strike Back,/app/627910/,Oct 31 2017,34,104,77,77,55.90%
12074,The Astral Hero,/app/581670/,May 6 2017,"2,731",63,46,46,55.90%
12075,The SoulKeeper VR,/app/442660/,Aug 16 2017,27,47,34,34,55.90%
12076,MetaMorph,/app/606870/,Dec 13 2017,968,51,37,37,55.89%
12077,Games of Glory,/app/342150/,Apr 25 2017,180,322,244,244,55.87%
12078,Ninja Shodown,/app/598840/,Sep 26 2017,4,16,11,11,55.86%
12079,The DRG Initiative,/app/613580/,Dec 14 2017,24,16,11,11,55.86%
12080,The Crowded Party Game Collection,/app/618640/,May 30 2017,6,16,11,11,55.86%
12081,Super Trashforce,/app/710520/,Nov 22 2017,3,16,11,11,55.86%
12082,Detached,/app/436230/,May 18 2017,32,198,149,149,55.85%
12083,Think of the Children,/app/573600/,Oct 19 2017,42,122,91,91,55.83%
12084,Timen runner,/app/623550/,May 26 2017,"1,411",64,47,47,55.81%
12085,Bang Bang Car,/app/592780/,Apr 19 2017,8,20,14,14,55.80%
12086,The Sniper VR,/app/615630/,Aug 25 2017,8,20,14,14,55.80%
12087,Banana Town,/app/722540/,Oct 7 2017,8,20,14,14,55.80%
12088,Steampunk Syndicate,/app/585360/,Apr 14 2017,960,44,32,32,55.76%
12089,Pink Rage Otome,/app/664620/,Jul 28 2017,5,32,23,23,55.75%
12090,FL337,/app/406760/,Jun 21 2017,2,2,1,1,55.69%
12091,Immerse Creator,/app/412640/,Apr 18 2017,3,2,1,1,55.69%
12092,Second Coming,/app/474880/,Feb 10 2017,2,2,1,1,55.69%
12093,Drone: Remote Tactical Warfare,/app/506980/,Jul 20 2017,3,2,1,1,55.69%
12094,Crimson Nights,/app/538390/,Jan 2 2017,2,2,1,1,55.69%
12095,Tricky Trail RC,/app/550870/,Mar 16 2017,2,2,1,1,55.69%
12096,VR Squash 2017,/app/563610/,Nov 20 2017,2,2,1,1,55.69%
12097,Spud Cricket VR,/app/582360/,Nov 2 2017,2,2,1,1,55.69%
12098,LASER STRIKERS,/app/600500/,Apr 17 2017,4,2,1,1,55.69%
12099,VR Batting,/app/606850/,Mar 20 2017,4,2,1,1,55.69%
12100,Duel VR,/app/612010/,Apr 30 2017,6,2,1,1,55.69%
12101,Haunted Manor: Lord of Mirrors Collector's Edition,/app/614380/,Apr 3 2017,4,2,1,1,55.69%
12102,PowerFist VR,/app/614850/,Jul 13 2017,2,2,1,1,55.69%
12103,Weather Lord: Hidden Realm,/app/637930/,Jun 8 2017,51,2,1,1,55.69%
12104,Dialogue: A Writer's Story,/app/654390/,Sep 20 2017,2,2,1,1,55.69%
12105,Aftermath Y2K,/app/655360/,Jul 10 2017,2,2,1,1,55.69%
12106,Roll Out,/app/661650/,Jul 31 2017,4,2,1,1,55.69%
12107,Expanse,/app/667670/,Aug 25 2017,3,2,1,1,55.69%
12108,Breadwinner VR,/app/668220/,Oct 24 2017,2,2,1,1,55.69%
12109,Hover Bots VR,/app/672670/,Jul 14 2017,2,2,1,1,55.69%
12110,Toys Gun Fire Boom,/app/674900/,Sep 3 2017,2,2,1,1,55.69%
12111,Letter-Setter,/app/676320/,Aug 17 2017,1,2,1,1,55.69%
12112,Fall Fear Fly Redemption,/app/684770/,Oct 16 2017,2,2,1,1,55.69%
12113,Slimebrawl,/app/690000/,Nov 20 2017,3,2,1,1,55.69%
12114,Two Escapes,/app/692610/,Aug 30 2017,2,2,1,1,55.69%
12115,The Flying Turtle Jewel Quest,/app/695880/,Aug 25 2017,3,2,1,1,55.69%
12116,FARIA: Starfall,/app/696440/,Sep 15 2017,4,2,1,1,55.69%
12117,JumpFist,/app/707470/,Sep 19 2017,2,2,1,1,55.69%
12118,Pray for Death,/app/713070/,Oct 20 2017,1,2,1,1,55.69%
12119,Chop Chop Princess!,/app/718740/,Nov 8 2017,2,2,1,1,55.69%
12120,Space Quiz,/app/727860/,Oct 27 2017,2,2,1,1,55.69%
12121,Big Bang Billiards,/app/729050/,Dec 23 2017,4,2,1,1,55.69%
12122,"Houston, We Have Spinach!",/app/734870/,Nov 24 2017,3,2,1,1,55.69%
12123,SpaceCoaster VR,/app/738290/,Nov 15 2017,3,2,1,1,55.69%
12124,Paddle Master VR,/app/743070/,Nov 19 2017,2,2,1,1,55.69%
12125,Mystery Stone from Heaven,/app/744630/,Nov 17 2017,2,2,1,1,55.69%
12126,Fire Flight,/app/761770/,Dec 15 2017,3,2,1,1,55.69%
12127,City Builder,/app/764550/,Dec 19 2017,2,2,1,1,55.69%
12128,MiniBotz,/app/508520/,Jan 25 2017,34,9,6,6,55.66%
12129,HVRGUN,/app/582050/,Jan 19 2017,4,9,6,6,55.66%
12130,A Lost Room,/app/613040/,Apr 5 2017,5,9,6,6,55.66%
12131,NOBUNAGA'S AMBITION: Haouden with Power Up Kit,/app/628090/,Jun 27 2017,22,9,6,6,55.66%
12132,Meta Star,/app/659000/,Aug 23 2017,4,9,6,6,55.66%
12133,Bad Thoughts,/app/661260/,Sep 16 2017,5,9,6,6,55.66%
12134,Blue Snake Adventures,/app/722080/,Oct 20 2017,3,9,6,6,55.66%
12135,HEXOPODS,/app/729990/,Nov 17 2017,3,9,6,6,55.66%
12136,DoubleTap,/app/757060/,Dec 18 2017,4,9,6,6,55.66%
12137,Virus Z,/app/666290/,Jul 24 2017,16,37,27,27,55.59%
12138,Forestation,/app/752300/,Dec 14 2017,5,37,27,27,55.59%
12139,X Rebirth VR Edition,/app/570420/,Dec 7 2017,91,145,110,110,55.57%
12140,Hero Barrier,/app/580560/,Mar 1 2017,"2,481",33,24,24,55.57%
12141,The New Queen,/app/552570/,Jan 13 2017,"1,015",13,9,9,55.55%
12142,Treehouse Basketball,/app/568600/,Feb 15 2017,7,13,9,9,55.55%
12143,Forestry,/app/574010/,Apr 7 2017,6,13,9,9,55.55%
12144,Ninja Avenger Dragon Blade,/app/603790/,Mar 17 2017,43,13,9,9,55.55%
12145,Murder...,/app/663540/,Aug 4 2017,4,13,9,9,55.55%
12146,Destroyer: Invasion,/app/678240/,Jul 14 2017,9,13,9,9,55.55%
12147,Starship Clicker,/app/744590/,Nov 30 2017,5,13,9,9,55.55%
12148,Dead Rising 4,/app/543460/,Mar 14 2017,"2,178","3,594","2,828","2,828",55.54%
12149,Market Tycoon,/app/563360/,May 11 2017,31,186,142,142,55.54%
12150,Akin Vol 2,/app/654820/,Jul 28 2017,4,25,18,18,55.53%
12151,Containment Corps,/app/693830/,Sep 21 2017,14,25,18,18,55.53%
12152,Don't Panic!,/app/720000/,Oct 6 2017,4,25,18,18,55.53%
12153,Eternal Return,/app/528010/,Feb 24 2017,16,21,15,15,55.52%
12154,The Ruins: VR Escape the Room,/app/592320/,Apr 13 2017,30,21,15,15,55.52%
12155,Avem33,/app/673900/,Aug 4 2017,65,21,15,15,55.52%
12156,Nakiti Generations,/app/512120/,Dec 15 2017,5,17,12,12,55.52%
12157,Zorbit's Orbits,/app/739410/,Nov 10 2017,67,17,12,12,55.52%
12158,VR SUPER SPORTS,/app/593240/,Mar 14 2017,27,63,47,47,55.51%
12159,EGOS - Tales of Fallen Souls,/app/619340/,Jul 28 2017,"14,034",42,31,31,55.47%
12160,Snake: Road to apple,/app/731230/,Nov 24 2017,16,55,41,41,55.45%
12161,Strangers in a Strange Land,/app/669770/,Jul 27 2017,25,51,38,38,55.42%
12162,Pyro VR,/app/586360/,Feb 9 2017,8,34,25,25,55.40%
12163,Catch a Lover,/app/589320/,Jul 24 2017,156,223,172,172,55.39%
12164,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,/app/425460/,Mar 17 2017,18,47,35,35,55.38%
12165,Blitzkrieg 3,/app/235380/,Jun 2 2017,"1,149","3,918","3,107","3,107",55.37%
12166,Bitcoin Collector,/app/704190/,Sep 13 2017,6,87,66,66,55.36%
12167,Kitten Rampage,/app/434360/,Sep 6 2017,16,52,39,39,55.31%
12168,The Adventurer - Episode 1: Beginning of the End,/app/628760/,Jul 29 2017,"2,191",162,125,125,55.27%
12169,Fated Souls 3,/app/602790/,Mar 10 2017,679,22,16,16,55.27%
12170,My Little Worms,/app/703210/,Sep 22 2017,10,22,16,16,55.27%
12171,StellarHub,/app/672860/,Aug 17 2017,"3,412",98,75,75,55.24%
12172,Azkend 2: The World Beneath,/app/550440/,Jan 3 2017,19,18,13,13,55.22%
12173,Adventures of Abrix,/app/576380/,Mar 17 2017,235,18,13,13,55.22%
12174,Space Way,/app/719100/,Oct 13 2017,98,18,13,13,55.22%
12175,Freaky Awesome,/app/622370/,Oct 18 2017,72,131,101,101,55.21%
12176,Say Goodbye,/app/557880/,Jan 3 2017,41,108,83,83,55.20%
12177,Bulby - Diamond Course,/app/461390/,Jan 19 2017,"1,316",31,23,23,55.19%
12178,Ashworld,/app/580320/,Sep 19 2017,7,14,10,10,55.17%
12179,Star Rangers VR - Free Demo,/app/703430/,Sep 15 2017,12,14,10,10,55.17%
12180,Solitaire,/app/748540/,Nov 21 2017,11,14,10,10,55.17%
12181,Savage Offroad,/app/748800/,Dec 7 2017,4,14,10,10,55.17%
12182,Keep Balance VR,/app/595070/,Feb 18 2017,6,6,4,4,55.14%
12183,Solaright,/app/615590/,Apr 13 2017,2,6,4,4,55.14%
12184,Scrollonoid,/app/625160/,Jun 15 2017,3,6,4,4,55.14%
12185,The Cleansing,/app/625580/,Sep 28 2017,7,6,4,4,55.14%
12186,Exocomets,/app/655950/,Jul 13 2017,4,6,4,4,55.14%
12187,Law Mower,/app/660940/,Aug 10 2017,4,6,4,4,55.14%
12188,Wordabeasts,/app/668190/,Dec 20 2017,6,6,4,4,55.14%
12189,Trials of the Thief-Taker,/app/688000/,Aug 10 2017,36,6,4,4,55.14%
12190,Infection Rate,/app/689030/,Sep 8 2017,4,6,4,4,55.14%
12191,Moving Day,/app/750020/,Nov 22 2017,2,6,4,4,55.14%
12192,SpaceRoads,/app/488480/,Nov 7 2017,"2,255",10,7,7,55.13%
12193,Housekeeping VR,/app/556520/,Feb 21 2017,5,10,7,7,55.13%
12194,Quantic Pinball,/app/577320/,Mar 29 2017,43,10,7,7,55.13%
12195,Eraser & Builder,/app/583030/,Feb 25 2017,198,10,7,7,55.13%
12196,Trajectory,/app/592620/,Mar 10 2017,4,10,7,7,55.13%
12197,Handball Manager - TEAM,/app/623860/,May 5 2017,5,10,7,7,55.13%
12198,Genghis Khan II: Clan of the Gray Wolf,/app/628160/,Jun 27 2017,16,10,7,7,55.13%
12199,Micro Miners,/app/730120/,Oct 28 2017,4,10,7,7,55.13%
12200,Drummer Talent VR,/app/609170/,May 6 2017,5,27,20,20,55.12%
12201,Hero Rush: Mad King,/app/702190/,Oct 4 2017,13,27,20,20,55.12%
12202,DOOM VFR,/app/650000/,Nov 30 2017,512,"1,471","1,173","1,173",55.11%
12203,Crafting Dead,/app/657990/,Aug 18 2017,67,82,63,63,55.09%
12204,Lionessy Story,/app/448690/,Jun 3 2017,419,41,31,31,55.04%
12205,Displaced,/app/615970/,Jul 26 2017,170,102,79,79,55.03%
12206,月之暗面 The Dark Side Of The Moon,/app/684250/,Aug 22 2017,20,32,24,24,55.03%
12207,Arcfall,/app/623310/,May 17 2017,136,190,149,149,55.00%
12208,3D Hardcore Cube,/app/691080/,Aug 23 2017,6,93,72,72,55.00%
12209,Autocraft,/app/287220/,Sep 20 2017,62,167,131,131,54.95%
12210,Radline: Quarantine,/app/592390/,May 29 2017,26,70,54,54,54.94%
12211,Trio,/app/642520/,Jun 8 2017,12,56,43,43,54.92%
12212,Dumbass Drivers!,/app/597040/,May 4 2017,684,42,32,32,54.91%
12213,Trivia Vault: Super Heroes Trivia 2,/app/705090/,Sep 12 2017,4,42,32,32,54.91%
12214,Znkl - 177,/app/745380/,Nov 24 2017,6,42,32,32,54.91%
12215,Galactic Lords,/app/716230/,Nov 13 2017,6,33,25,25,54.88%
12216,Archangel™: Hellfire,/app/553880/,Aug 2 2017,42,201,159,159,54.84%
12217,Lockdown: Stand Alone,/app/513270/,Dec 21 2017,7,24,18,18,54.84%
12218,SpaceDweller,/app/599510/,Sep 20 2017,121,15,11,11,54.84%
12219,Metal Soldiers 2,/app/753380/,Dec 13 2017,8,15,11,11,54.84%
12220,Infinitum,/app/555670/,Jan 4 2017,"2,728",67,52,52,54.81%
12221,L.A. Noire: The VR Case Files,/app/722230/,Dec 15 2017,115,488,391,391,54.80%
12222,Totally Mayhem,/app/679740/,Aug 3 2017,8,29,22,22,54.77%
12223,Trivia Vault: Classic Rock Trivia,/app/690240/,Aug 17 2017,3,53,41,41,54.76%
12224,Reading Simulator,/app/769690/,Dec 29 2017,7,53,41,41,54.76%
12225,The Archotek Project,/app/608990/,Apr 28 2017,"1,581",452,363,363,54.73%
12226,Tank Assault X,/app/585970/,Apr 5 2017,"1,631",20,15,15,54.71%
12227,Died Of Fear,/app/663920/,Jul 7 2017,5,20,15,15,54.71%
12228,Geology Business,/app/527240/,Feb 24 2017,48,44,34,34,54.69%
12229,Grim Seventh,/app/510730/,Jan 20 2017,207,11,8,8,54.69%
12230,I Want Toilet!!!!!!,/app/654840/,Aug 11 2017,3,11,8,8,54.69%
12231,Matryoshka Strike,/app/675960/,Sep 12 2017,5,11,8,8,54.69%
12232,Old Adventure,/app/688450/,Dec 12 2017,2,11,8,8,54.69%
12233,Take On Mars,/app/244030/,Feb 9 2017,435,"1,071",869,869,54.67%
12234,Raiden V: Director's Cut,/app/570050/,Oct 10 2017,52,250,200,200,54.67%
12235,Jellyfish,/app/700440/,Sep 15 2017,3,30,23,23,54.62%
12236,Urlaubsflug Simulator – Holiday Flight Simulator,/app/500170/,Apr 13 2017,42,75,59,59,54.61%
12237,ZiL Truck RallyCross,/app/601170/,Apr 7 2017,5,45,35,35,54.59%
12238,Deep Sorrow,/app/736110/,Nov 12 2017,4,40,31,31,54.59%
12239,Catan Universe,/app/544730/,Apr 25 2017,"7,376","6,053","4,980","4,980",54.57%
12240,Pixelord,/app/737330/,Nov 1 2017,2,16,12,12,54.55%
12241,The guard of dungeon,/app/601640/,Mar 7 2017,"1,751",87,69,69,54.51%
12242,Pararea Beta,/app/671310/,Sep 16 2017,17,21,16,16,54.50%
12243,Mall Empire,/app/592340/,Feb 16 2017,11,51,40,40,54.49%
12244,Galactic Missile Defense,/app/388550/,Jun 8 2017,507,26,20,20,54.48%
12245,Gemstone Keeper,/app/522080/,Mar 31 2017,47,7,5,5,54.48%
12246,Empire of the Fallen Steel,/app/543380/,Dec 18 2017,2,7,5,5,54.48%
12247,Amazon Odyssey,/app/570540/,Oct 26 2017,4,7,5,5,54.48%
12248,Meganoid,/app/606030/,Mar 29 2017,5,7,5,5,54.48%
12249,Harvest Simulator VR,/app/612030/,Nov 25 2017,4,7,5,5,54.48%
12250,Castles,/app/666660/,Jul 14 2017,4,7,5,5,54.48%
12251,Funtoon's World,/app/681090/,Aug 4 2017,2,7,5,5,54.48%
12252,Mustdashe,/app/699820/,Sep 8 2017,2,7,5,5,54.48%
12253,SoTo,/app/717960/,Dec 19 2017,2,7,5,5,54.48%
12254,Domino Dungeon,/app/718140/,Oct 4 2017,2,7,5,5,54.48%
12255,The beauties&zombies of beach for VR,/app/724940/,Oct 20 2017,4,7,5,5,54.48%
12256,Jida Chronicle Chaos frontier,/app/753960/,Dec 28 2017,3,7,5,5,54.48%
12257,Cars with Guns: It's About Time,/app/762900/,Dec 18 2017,5,7,5,5,54.48%
12258,Legend of Ares,/app/536950/,Jun 1 2017,55,31,24,24,54.47%
12259,Fall of Light: Darkest Edition,/app/633950/,Sep 28 2017,32,167,135,135,54.35%
12260,War Trigger 2,/app/732730/,Nov 22 2017,278,492,403,403,54.33%
12261,Demon Lord,/app/578920/,Mar 21 2017,11,12,9,9,54.33%
12262,Roomscale Coaster,/app/592330/,Mar 1 2017,633,12,9,9,54.33%
12263,VisionOriginVR,/app/633940/,May 19 2017,8,12,9,9,54.33%
12264,2 Planets Fire and Ice,/app/657110/,Aug 7 2017,5,12,9,9,54.33%
12265,Maze Run VR,/app/681550/,Sep 2 2017,3,12,9,9,54.33%
12266,Vector Velocity,/app/751480/,Nov 23 2017,2,12,9,9,54.33%
12267,Romance of the Three Kingdoms IV with Power Up Kit ,/app/521730/,Mar 21 2017,24,17,13,13,54.30%
12268,The Last Cargo,/app/593560/,Mar 4 2017,5,17,13,13,54.30%
12269,My Own Little Planet,/app/603250/,Apr 14 2017,"5,000",17,13,13,54.30%
12270,Dark Passenger,/app/611140/,Apr 26 2017,857,17,13,13,54.30%
12271,Boom Island,/app/717820/,Oct 16 2017,3,17,13,13,54.30%
12272,Christmas Race,/app/755600/,Dec 1 2017,9,38,30,30,54.24%
12273,Kitten Squad,/app/547820/,Jan 5 2017,35,93,75,75,54.21%
12274,Shout Of Survival,/app/491070/,Nov 30 2017,5,3,2,2,54.17%
12275,Medieval Story,/app/543740/,Aug 4 2017,6,3,2,2,54.17%
12276,Hawks Tactical,/app/571550/,Jan 2 2017,3,3,2,2,54.17%
12277,MonkeyKing VR,/app/580540/,Feb 7 2017,2,3,2,2,54.17%
12278,The Artist,/app/587690/,Feb 16 2017,7,3,2,2,54.17%
12279,Tales of Terror: Crimson Dawn,/app/596270/,Mar 1 2017,2,3,2,2,54.17%
12280,TROID BLASTER,/app/600690/,Feb 24 2017,2,3,2,2,54.17%
12281,TRANCE VR,/app/601080/,May 26 2017,2,3,2,2,54.17%
12282,Bottle Flip Challenge VR,/app/620140/,Apr 9 2017,4,3,2,2,54.17%
12283,RUN,/app/624610/,May 20 2017,2,3,2,2,54.17%
12284,Double Clue: Solitaire Stories,/app/631250/,May 3 2017,2,3,2,2,54.17%
12285,Bionic Attack,/app/632380/,May 20 2017,2,3,2,2,54.17%
12286,Zombie Kill,/app/636430/,May 15 2017,6,3,2,2,54.17%
12287,The Glade,/app/637640/,May 29 2017,2,3,2,2,54.17%
12288,Myths of the World: Stolen Spring Collector's Edition,/app/638260/,May 31 2017,3,3,2,2,54.17%
