id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
245,Physical Layer,/app/2298210/,Mar 16 2023,43,35,0,0,83.00%
246,Broken Universe - Tower Defense,/app/1487680/,Feb 5 2023,387,210,21,21,82.97%
247,Dread Templar,/app/1334730/,Jan 26 2023,159,837,117,117,82.95%
248,YOLKED,/app/1464010/,Apr 6 2023,8,46,1,1,82.95%
249,Veil of Dust: A Homesteading Game,/app/1593170/,Apr 2 2023,14,46,1,1,82.95%
250,DESTRUCTURE: Among Debris,/app/1825210/,Feb 27 2023,15,46,1,1,82.95%
251,Rich Lady's Slave Role Play,/app/1925010/,Mar 16 2023,68,75,4,4,82.92%
252,Absinthia,/app/1848070/,Mar 13 2023,12,34,0,0,82.85%
253,XXX_CYBERRAT_XXX,/app/2132430/,Feb 20 2023,37,74,4,4,82.83%
254,Netherguild,/app/1464220/,Mar 27 2023,21,45,1,1,82.82%
255,Yggdra Union,/app/2107860/,Feb 7 2023,118,91,6,6,82.79%
256,Song Of The Prairie,/app/1350840/,Apr 7 2023,927,154,14,14,82.77%
257,大侠立志传,/app/1948980/,Mar 8 2023,"28,936","5,218",898,898,82.76%
258,HITLER: BDSM BUNKER,/app/2287650/,Feb 11 2023,403,90,6,6,82.71%
259,Finnish Army Simulator,/app/1184250/,Jan 13 2023,456,287,33,33,82.70%
260,DARK NIGHT WITH FLOPPA,/app/2229990/,Jan 6 2023,12,239,26,26,82.70%
261,Stuffo the Puzzle Bot,/app/1068460/,Mar 2 2023,9,33,0,0,82.70%
262,Low Oxygen,/app/2305810/,Mar 16 2023,46,63,3,3,82.63%
263,WW2 Rebuilder,/app/1573280/,Jan 16 2023,"1,219",608,84,84,82.58%
264,Alien maze,/app/1631090/,Feb 10 2023,20,143,13,13,82.57%
265,枪神出击,/app/2216110/,Jan 30 2023,490,43,1,1,82.55%
266,Awakened Evil,/app/1760640/,Jan 30 2023,6,32,0,0,82.55%
267,The Pyramid Of Bones,/app/2286020/,Feb 14 2023,16,32,0,0,82.55%
268,乱世无双,/app/2323870/,Mar 8 2023,24,71,4,4,82.54%
269,Full Metal Sergeant,/app/1698350/,Apr 3 2023,151,52,2,2,82.44%
270,Spiritfall,/app/1835240/,Apr 3 2023,587,259,30,30,82.43%
271,Berry People,/app/2295700/,Feb 14 2023,11,61,3,3,82.42%
272,Mage Kanade's Futanari Dungeon Quest,/app/2258940/,Mar 14 2023,152,140,13,13,82.39%
273,Limbus Company,/app/1973530/,Feb 26 2023,"30,225","7,546","1,376","1,376",82.34%
274,Beer Factory - Prologue,/app/2173600/,Mar 13 2023,"1,279",665,96,96,82.31%
275,HELLCARD: Prologue,/app/2207480/,Jan 30 2023,482,282,34,34,82.31%
276,Dear Monster,/app/1748300/,Jan 17 2023,102,51,2,2,82.31%
277,Bumblebee - Little Bee Adventure,/app/2145810/,Feb 10 2023,6,51,2,2,82.31%
278,Scorchlands,/app/1090100/,Feb 7 2023,24,41,1,1,82.27%
279,Eggcelerate! to the Tropics,/app/1621320/,Mar 30 2023,15,41,1,1,82.27%
280,Tell Some Story: Foz,/app/1687210/,Feb 2 2023,9,30,0,0,82.22%
281,Gore Storm,/app/2315700/,Mar 10 2023,15,30,0,0,82.22%
282,TerraScape,/app/2290000/,Apr 5 2023,353,137,13,13,82.21%
283,TET,/app/2246700/,Jan 31 2023,5,59,3,3,82.19%
284,Unholy Angel,/app/2224860/,Jan 16 2023,11,50,2,2,82.19%
285,Pets Hotel: Prologue,/app/2148930/,Jan 25 2023,197,239,28,28,82.17%
286,Brave's Rage,/app/1124080/,Feb 1 2023,160,205,23,23,82.14%
287,Missing Hiker,/app/2250090/,Feb 14 2023,169,954,148,148,82.13%
288,NSFW Solitaire,/app/2274120/,Jan 27 2023,70,114,10,10,82.13%
289,Yihongyuan,/app/1802980/,Mar 2 2023,416,496,70,70,82.05%
290,Akka Arrh,/app/2005680/,Feb 21 2023,15,29,0,0,82.04%
291,Rustled Pete,/app/2081540/,Feb 28 2023,8,29,0,0,82.04%
292,ToriDori,/app/2085040/,Apr 6 2023,13,29,0,0,82.04%
293,柒愿传说,/app/2163270/,Apr 1 2023,8,29,0,0,82.04%
294,天外武林 (Traveler of Wuxia),/app/2088160/,Jan 6 2023,"5,874","2,093",359,359,81.99%
295,The Sea-demon,/app/1825930/,Jan 6 2023,75,168,18,18,81.97%
296,Catch Me!,/app/1741160/,Jan 24 2023,24,39,1,1,81.97%
297,ハッピーライヴ ショウアップ！,/app/1885570/,Mar 10 2023,23,39,1,1,81.97%
298,The Secret of Darkwoods,/app/2271590/,Mar 28 2023,21,39,1,1,81.97%
299,Sunrider 4: The Captain's Return,/app/2251620/,Feb 8 2023,199,126,12,12,81.95%
300,Treason,/app/1786950/,Jan 31 2023,226,383,52,52,81.94%
301,The Black Grimoire: Cursebreaker,/app/1189290/,Mar 10 2023,137,89,7,7,81.93%
302,inhabit,/app/2095060/,Jan 27 2023,7,28,0,0,81.86%
303,DEFECTIVE,/app/2153850/,Feb 3 2023,4,28,0,0,81.86%
304,Tactical Command,/app/2223130/,Jan 27 2023,11,28,0,0,81.86%
305,Jury,/app/2258290/,Apr 2 2023,60,28,0,0,81.86%
306,Dusk of the Cage,/app/2299150/,Feb 21 2023,7,28,0,0,81.86%
307,Smalland: Survive the Wilds,/app/768200/,Mar 29 2023,"12,741","2,200",384,384,81.84%
308,Sons Of The Forest,/app/1326470/,Feb 23 2023,"414,257","99,696","20,716","20,716",81.83%
309,Outlanders,/app/1766720/,Mar 7 2023,147,95,8,8,81.80%
310,Wretched Depths,/app/2343240/,Mar 24 2023,20,64,4,4,81.78%
311,File Destined,/app/2257460/,Feb 25 2023,32,171,19,19,81.77%
312,HELLCARD,/app/1201540/,Feb 16 2023,"3,539",916,147,147,81.73%
313,Reshaping Mars,/app/1395760/,Mar 30 2023,642,568,85,85,81.73%
314,你农我农-Need Know What Know,/app/2150870/,Feb 5 2023,84,94,8,8,81.71%
315,Lunar Mirror:The Pavilion of Desire,/app/2157680/,Mar 4 2023,"1,331",605,92,92,81.67%
316,One Night At Barneys 3,/app/2074460/,Jan 5 2023,24,86,7,7,81.66%
