id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
19587,Echo of Combats,/app/931070/,Jul 27 2021,39,112,36,36,69.98%
19588,Residual,/app/1290780/,Sep 9 2021,14,22,5,5,69.94%
19589,MINDMIST,/app/1455040/,Jun 22 2021,3,22,5,5,69.94%
19590,Viking Story,/app/1548930/,Feb 26 2021,8,22,5,5,69.94%
19591,Armageddon Empires,/app/1576720/,Apr 16 2021,5,22,5,5,69.94%
19592,TURK: The Demon Slayer,/app/1604540/,May 15 2021,8,22,5,5,69.94%
19593,Rogue Lords,/app/1069690/,Sep 30 2021,"2,075","1,026",390,390,69.93%
19594,Lumberjack's Dynasty,/app/968970/,Feb 25 2021,"1,348","1,596",618,618,69.91%
19595,The Miserable Crimson Hooded Girl,/app/667270/,Dec 31 2021,5,12,2,2,69.91%
19596,Aim Bot,/app/995170/,May 20 2021,5,12,2,2,69.91%
19597,Farlight Commanders,/app/1301860/,Nov 19 2021,7,12,2,2,69.91%
19598,Timewalk Tower Defense,/app/1365590/,Jan 1 2021,6,12,2,2,69.91%
19599,Lion Quest Infinity,/app/1384530/,Mar 5 2021,3,12,2,2,69.91%
19600,Legend of Krannia: Cursed Fate,/app/1458340/,Jan 25 2021,3,12,2,2,69.91%
19601,CAOS,/app/1466610/,Jun 21 2021,7,12,2,2,69.91%
19602,Oscar & Gems: Puzzle Quest,/app/1505450/,Mar 7 2021,2,12,2,2,69.91%
19603,White Girl,/app/1509520/,Feb 1 2021,10,12,2,2,69.91%
19604,Wild West Crops,/app/1522230/,Feb 16 2021,5,12,2,2,69.91%
19605,Time to GOLF,/app/1528880/,Feb 18 2021,13,12,2,2,69.91%
19606,Spring Flower,/app/1537600/,Feb 12 2021,3,12,2,2,69.91%
19607,Vaccine Delivery Simulator,/app/1540130/,Mar 23 2021,2,12,2,2,69.91%
19608,Flying Angel,/app/1543120/,Feb 24 2021,3,12,2,2,69.91%
19609,Morkredd Demo,/app/1560890/,Mar 25 2021,8,12,2,2,69.91%
19610,Russian Drunken Boxers,/app/1566120/,Mar 26 2021,4,12,2,2,69.91%
19611,JustDefense,/app/1573160/,Mar 25 2021,2,12,2,2,69.91%
19612,Antonball Deluxe Lite,/app/1598350/,Jun 7 2021,136,12,2,2,69.91%
19613,Would you like to run an idol café? 2,/app/1630500/,Sep 27 2021,5,12,2,2,69.91%
19614,The Way Home,/app/1637820/,Jun 2 2021,3,12,2,2,69.91%
19615,Buck Borris in Action,/app/1641230/,Jun 17 2021,4,12,2,2,69.91%
19616,Wraiths of SENTINEL,/app/1662750/,Sep 16 2021,20,12,2,2,69.91%
19617,Advent Crossroad,/app/1675480/,Aug 11 2021,3,12,2,2,69.91%
19618,Air Traffic BLITZ VR,/app/1716770/,Dec 25 2021,2,12,2,2,69.91%
19619,Typer Hero,/app/1743720/,Oct 3 2021,3,12,2,2,69.91%
19620,Miraculo Island,/app/1760140/,Oct 21 2021,5,12,2,2,69.91%
19621,Now Boarding,/app/1776490/,Oct 17 2021,7,12,2,2,69.91%
19622,The Vellescian Gambit,/app/1780520/,Nov 15 2021,2,12,2,2,69.91%
19623,Campground Owner,/app/1787010/,Oct 26 2021,3,12,2,2,69.91%
19624,Destroy The Cubes 2,/app/1793240/,Nov 18 2021,3,12,2,2,69.91%
19625,Shadow Сave,/app/1798430/,Nov 30 2021,3,12,2,2,69.91%
19626,The Labyrinth of Greed,/app/1812840/,Nov 29 2021,2,12,2,2,69.91%
19627,Tiny Tank,/app/1821430/,Dec 4 2021,3,12,2,2,69.91%
19628,Defenders Glory,/app/1823940/,Dec 6 2021,6,12,2,2,69.91%
19629,Explosive Snooker,/app/1825080/,Dec 15 2021,2,12,2,2,69.91%
19630,Traffic Jams,/app/1301930/,Apr 8 2021,15,55,16,16,69.88%
19631,末日纷争,/app/1792710/,Nov 18 2021,44,89,28,28,69.87%
19632,Striving for Light,/app/1646790/,Nov 29 2021,21,52,15,15,69.86%
19633,Three Kingdoms: The Last Warlord,/app/577230/,Feb 5 2021,799,"2,470",974,974,69.85%
19634,Wizard Bros,/app/620890/,Jan 25 2021,9,25,6,6,69.85%
19635,Brain Games,/app/1416720/,Sep 6 2021,13,25,6,6,69.85%
19636,Tortured Hearts - Or How I Saved The Universe. Again.,/app/1508260/,Mar 1 2021,9,25,6,6,69.85%
19637,Endless Furry Clicker,/app/1541850/,Feb 20 2021,5,25,6,6,69.85%
19638,Ragdoll Madness,/app/1605440/,May 8 2021,20,25,6,6,69.85%
19639,​Cubeetle - Game of creation,/app/1638100/,Jun 12 2021,5,25,6,6,69.85%
19640,Magical Valkyrie Lyristia,/app/1666510/,Jul 17 2021,203,197,68,68,69.81%
19641,A.D. 2047,/app/1523370/,Jul 8 2021,"3,481",108,35,35,69.81%
19642,A Warmer Shade of Summer,/app/1639580/,Jun 3 2021,94,69,21,21,69.81%
19643,Lost At Sea,/app/1278750/,Jul 15 2021,8,28,7,7,69.80%
19644,Fruit Girls: Hentai Jigsaw Photo Studio,/app/1504460/,Jun 13 2021,42,28,7,7,69.80%
19645,Super Soccer Blast: America vs Europe,/app/1586530/,Jun 11 2021,18,28,7,7,69.80%
19646,Killsquad,/app/910490/,Oct 21 2021,"2,784","2,435",963,963,69.79%
19647,Hentai Killer: Girls & Chess,/app/1507490/,Jun 4 2021,5,66,20,20,69.77%
19648,见习侦探,/app/1598930/,Jul 15 2021,59,66,20,20,69.77%
19649,Maelstrom: A Yaoi Visual Novel,/app/1485190/,Apr 7 2021,22,31,8,8,69.77%
19650,into the dangerous world i leapt,/app/1674810/,Oct 5 2021,9,31,8,8,69.77%
19651,PIXASSO 3,/app/1721940/,Sep 3 2021,5,31,8,8,69.77%
19652,Furious Seas,/app/875760/,Jul 19 2021,19,175,60,60,69.74%
19653,Mech Mechanic Simulator: Prologue,/app/1485350/,Feb 18 2021,65,91,29,29,69.74%
19654,Halo Infinite,/app/1240440/,Nov 15 2021,"272,586","110,600","46,819","46,819",69.71%
19655,My Stepsis is a Futanari,/app/1757760/,Oct 27 2021,8,126,42,42,69.66%
19656,Grim wanderings 2,/app/1477050/,Sep 16 2021,42,57,17,17,69.66%
19657,Tartapolis,/app/1072110/,Feb 12 2021,5,15,3,3,69.59%
19658,Levi Chronicles,/app/1144370/,Jul 9 2021,8,15,3,3,69.59%
19659,Star Tank,/app/1408760/,Jul 21 2021,2,15,3,3,69.59%
19660,Quick Square,/app/1446980/,Mar 1 2021,2,15,3,3,69.59%
19661,Relics of the Lost Age,/app/1449670/,Jan 7 2021,19,15,3,3,69.59%
19662,Star Hunter DX,/app/1451030/,Aug 5 2021,6,15,3,3,69.59%
19663,Puzlkind,/app/1483130/,Mar 1 2021,12,15,3,3,69.59%
19664,A Token War,/app/1496680/,Apr 28 2021,5,15,3,3,69.59%
19665,Tanky Tanks,/app/1542120/,Mar 12 2021,4,15,3,3,69.59%
19666,A Strange City,/app/1564940/,May 20 2021,3,15,3,3,69.59%
19667,Knighted,/app/1568480/,May 18 2021,5,15,3,3,69.59%
19668,SEDOMAIRI,/app/1684220/,Aug 2 2021,21,15,3,3,69.59%
19669,ITRP _ Gas Prison,/app/1758200/,Oct 8 2021,4,15,3,3,69.59%
19670,Neon Bricks,/app/1806580/,Nov 19 2021,3,15,3,3,69.59%
19671,babyquick : Adventure of the Moon Dragon,/app/1809730/,Dec 2 2021,6,15,3,3,69.59%
19672,BOXNIGMA,/app/1818250/,Nov 30 2021,2,15,3,3,69.59%
19673,异世界攻略组 Isekai Team,/app/1525490/,Jun 1 2021,29,48,14,14,69.54%
19674,Super Clown Adventures,/app/1537820/,Feb 12 2021,4,48,14,14,69.54%
19675,Boodunnit,/app/1515290/,Feb 3 2021,53,292,106,106,69.52%
19676,Anime Zodiac,/app/1700940/,Aug 12 2021,10,76,24,24,69.52%
19677,Summer with Mia Season 1,/app/1571170/,Mar 25 2021,182,427,159,159,69.51%
19678,Gaia Project,/app/1516400/,May 31 2021,164,183,64,64,69.51%
19679,Chuckle Phrase Builder,/app/1457490/,Sep 6 2021,17,45,13,13,69.50%
19680,MONOPOLY Poker,/app/1474700/,Jun 3 2021,471,"2,730","1,102","1,102",69.47%
19681,HORROR BAR,/app/1418430/,Feb 25 2021,9,111,37,37,69.46%
19682,A Little Shop in Squirrel Town,/app/1295810/,Jan 8 2021,17,42,12,12,69.46%
19683,Praesidium,/app/1570720/,Apr 28 2021,25,59,18,18,69.45%
19684,Billion Beat,/app/1177330/,Jul 14 2021,3,18,4,4,69.44%
19685,Gunnhildr,/app/1377030/,Sep 8 2021,5,18,4,4,69.44%
19686,Nectar of the Gods,/app/1421410/,Jan 27 2021,6,18,4,4,69.44%
19687,Atom,/app/1491790/,Sep 17 2021,2,18,4,4,69.44%
19688,Doomsday Vault,/app/1500980/,Aug 5 2021,7,18,4,4,69.44%
19689,Goddess Of Card War,/app/1537390/,Mar 4 2021,5,18,4,4,69.44%
19690,The Animal Bash,/app/1559280/,Apr 14 2021,17,18,4,4,69.44%
19691,Daenerys Miracle,/app/1579190/,Apr 7 2021,2,18,4,4,69.44%
19692,VR Bukkake,/app/1589070/,Apr 15 2021,2,18,4,4,69.44%
19693,From Earth To Heaven,/app/1623090/,Sep 5 2021,4,18,4,4,69.44%
19694,THE FANGS HUNTRESS,/app/1624460/,May 21 2021,2,18,4,4,69.44%
19695,Aptly Rolling,/app/1712730/,Aug 27 2021,8,18,4,4,69.44%
19696,The Master Club,/app/959510/,Oct 18 2021,3,8,1,1,69.44%
19697,Hieroglyph: Prologue,/app/1069150/,Jan 4 2021,2,8,1,1,69.44%
19698,Pon Para and the Unconquerable Scorpion,/app/1288650/,Dec 16 2021,10,8,1,1,69.44%
19699,BETRAYER: Curse of the Spine,/app/1382290/,Aug 26 2021,5,8,1,1,69.44%
19700,Impossible Pixels,/app/1385920/,Jul 14 2021,5,8,1,1,69.44%
19701,Our Hero! Two,/app/1408050/,Oct 29 2021,2,8,1,1,69.44%
19702,Load Roll Die,/app/1410140/,Oct 6 2021,6,8,1,1,69.44%
19703,Z Arena,/app/1411460/,Jun 10 2021,2,8,1,1,69.44%
19704,Erazer - Devise & Destroy,/app/1425050/,Dec 16 2021,5,8,1,1,69.44%
19705,Low Story,/app/1470150/,Jan 11 2021,4,8,1,1,69.44%
19706,Tower Defense Hero - 塔防英雄,/app/1489330/,Jan 2 2021,4,8,1,1,69.44%
19707,eia,/app/1501950/,Jan 21 2021,4,8,1,1,69.44%
19708,荣光的见证,/app/1505270/,Jan 21 2021,2,8,1,1,69.44%
19709,Cannon Lab 13,/app/1507260/,Jan 20 2021,2,8,1,1,69.44%
19710,Hisato no Saku,/app/1508370/,Sep 17 2021,3,8,1,1,69.44%
19711,"Beyond Horror: Episode One, A Father's Journey",/app/1516950/,Feb 5 2021,4,8,1,1,69.44%
19712,CELLAR,/app/1534480/,Feb 11 2021,2,8,1,1,69.44%
19713,The Great Empire: Relic of Egypt,/app/1544140/,Feb 18 2021,8,8,1,1,69.44%
19714,Chickenman,/app/1546550/,Apr 23 2021,2,8,1,1,69.44%
19715,Feudalia,/app/1550680/,May 6 2021,4,8,1,1,69.44%
19716,RoHoEn Rumble,/app/1551290/,Mar 3 2021,2,8,1,1,69.44%
19717,Legacy of Vane,/app/1555570/,Jul 16 2021,3,8,1,1,69.44%
19718,6 Feet Behind,/app/1557760/,Mar 16 2021,2,8,1,1,69.44%
19719,冲击五十关,/app/1570050/,May 22 2021,2,8,1,1,69.44%
19720,Clan of Death,/app/1570420/,Oct 1 2021,9,8,1,1,69.44%
19721,Brian the Brain,/app/1583950/,Jun 3 2021,2,8,1,1,69.44%
19722,No Hope,/app/1594370/,Jul 23 2021,2,8,1,1,69.44%
19723,Overlay Balls & Mouse Tails,/app/1596240/,Jun 5 2021,2,8,1,1,69.44%
19724,Cube Flip,/app/1600300/,Nov 19 2021,2,8,1,1,69.44%
19725,Super Fowlst 2,/app/1604840/,May 3 2021,2,8,1,1,69.44%
19726,Connect The Dots,/app/1605190/,Aug 12 2021,3,8,1,1,69.44%
19727,Haunted Hotel: Eternity Collector's Edition,/app/1612550/,Apr 23 2021,7,8,1,1,69.44%
19728,Mad Wild Fairy Tale,/app/1617160/,Oct 24 2021,4,8,1,1,69.44%
19729,Rangerdog,/app/1627710/,Jun 18 2021,4,8,1,1,69.44%
19730,Superpantsu Harematchii,/app/1628000/,Jun 4 2021,8,8,1,1,69.44%
19731,学院逃生,/app/1632880/,Jun 15 2021,3,8,1,1,69.44%
19732,Laruaville 11,/app/1636550/,May 29 2021,8,8,1,1,69.44%
19733,少女首領の推理領域 -黄金島の密約-,/app/1639400/,Jun 23 2021,8,8,1,1,69.44%
19734,SPACE BANDITOS,/app/1643040/,Jun 24 2021,28,8,1,1,69.44%
19735,MY TIME ALIVE,/app/1673360/,Aug 3 2021,2,8,1,1,69.44%
19736,Kensei,/app/1675430/,Jul 12 2021,2,8,1,1,69.44%
19737,Perfect Affection Plan: Cassiopeia,/app/1688310/,Jul 20 2021,7,8,1,1,69.44%
19738,Road Bustle,/app/1689420/,Jul 24 2021,1,8,1,1,69.44%
19739,Baklava Simulator,/app/1701650/,Aug 25 2021,2,8,1,1,69.44%
19740,Chimeras: Cursed and Forgotten Collector's Edition,/app/1702540/,Jul 23 2021,8,8,1,1,69.44%
19741,AirGun,/app/1709030/,Aug 27 2021,3,8,1,1,69.44%
19742,The Fortress of Varnolis,/app/1714010/,Oct 13 2021,2,8,1,1,69.44%
19743,Fantasy Gardens,/app/1730840/,Dec 1 2021,4,8,1,1,69.44%
19744,Rocket Jump,/app/1747440/,Oct 7 2021,2,8,1,1,69.44%
19745,Battlecruiser Generations,/app/1755420/,Sep 21 2021,3,8,1,1,69.44%
19746,Oasis: Dark Forest,/app/1757970/,Dec 23 2021,3,8,1,1,69.44%
19747,惑星游侠-Planet Rogue,/app/1768800/,Oct 30 2021,5,8,1,1,69.44%
19748,The Throne of Bernicia,/app/1778310/,Nov 1 2021,8,8,1,1,69.44%
19749,Limita Luminii,/app/1784980/,Dec 19 2021,2,8,1,1,69.44%
19750,Vortle,/app/1791430/,Dec 15 2021,3,8,1,1,69.44%
19751,PlanetDrop - A Tiny Space Adventure,/app/1793060/,Nov 4 2021,5,8,1,1,69.44%
19752,Failure simulator,/app/1793560/,Nov 11 2021,2,8,1,1,69.44%
19753,Welcome Home 2,/app/1795560/,Nov 5 2021,4,8,1,1,69.44%
19754,Creatures: The Albian Years,/app/1818340/,Dec 20 2021,3,8,1,1,69.44%
19755,Maze Art: Red,/app/1818830/,Dec 4 2021,53,8,1,1,69.44%
19756,로스팅 리포트: 대학 교수 살인사건,/app/1840430/,Dec 23 2021,2,8,1,1,69.44%
19757,New World,/app/1063730/,Sep 28 2021,"913,634","177,063","76,251","76,251",69.43%
19758,Sexorcist Academy,/app/1571690/,May 14 2021,16,39,11,11,69.43%
19759,Hentai Hack-Her,/app/1596980/,May 14 2021,6,39,11,11,69.43%
19760,玉言·离光,/app/1537480/,Aug 6 2021,86,124,42,42,69.41%
19761,Innocent Girl,/app/1349030/,Dec 17 2021,27,213,76,76,69.40%
19762,Peblito: Rock and Roll,/app/1696230/,Aug 10 2021,15,56,17,17,69.40%
19763,Cyber Rider,/app/1508200/,Aug 10 2021,5,36,10,10,69.39%
19764,Last Village,/app/1594340/,Aug 16 2021,6,36,10,10,69.39%
19765,Fear Therapy,/app/1695840/,Dec 24 2021,356,"2,002",805,805,69.37%
19766,Clid the Snail,/app/1597580/,Dec 15 2021,31,78,25,25,69.37%
19767,Undungeon,/app/928990/,Nov 18 2021,183,228,82,82,69.36%
19768,Evil Mansion,/app/1518190/,Mar 27 2021,314,113,38,38,69.36%
19769,星月之歌,/app/1509340/,Feb 3 2021,10,33,9,9,69.36%
19770,Shadows Behind the Throne 2,/app/1511830/,Jul 25 2021,10,33,9,9,69.36%
19771,Garden of Mooj,/app/1044760/,Oct 6 2021,6,21,5,5,69.36%
19772,Kinetic Edge,/app/1347130/,Feb 5 2021,16,21,5,5,69.36%
19773,Robot Robert,/app/1505400/,Mar 9 2021,4,21,5,5,69.36%
19774,The Space Between,/app/1585250/,Apr 16 2021,3,21,5,5,69.36%
19775,祛魅·格心（祛魅3） - Disenchantment Heart,/app/1632160/,Aug 2 2021,6,21,5,5,69.36%
19776,The Last Yandere: Cursed Dark,/app/1660570/,Jun 24 2021,5,21,5,5,69.36%
19777,Do 11,/app/1697190/,Aug 10 2021,6,21,5,5,69.36%
19778,HOPE VR: Progressive Meditation,/app/1703740/,Oct 7 2021,4,21,5,5,69.36%
19779,Tails & Titties Hot Spring,/app/1749300/,Oct 11 2021,14,21,5,5,69.36%
19780,Island Crusaders,/app/1755460/,Nov 12 2021,3,21,5,5,69.36%
19781,John Christian,/app/1552960/,Jul 7 2021,3,30,8,8,69.34%
19782,The Birth of an Artificial Intelligence,/app/1702550/,Oct 11 2021,7,30,8,8,69.34%
19783,69 Yuki Love,/app/1730100/,Sep 6 2021,8,30,8,8,69.34%
19784,Space Kettle,/app/1380830/,Feb 7 2021,17,27,7,7,69.33%
19785,Chicken Holmes - O Mistério de Bartolomeu,/app/1577280/,Apr 12 2021,5,27,7,7,69.33%
19786,"Pop it, Please!",/app/1684900/,Jul 23 2021,9,27,7,7,69.33%
19787,Sniper Game,/app/1789270/,Oct 28 2021,3,27,7,7,69.33%
19788,Hammer time!,/app/1779230/,Oct 19 2021,13,24,6,6,69.33%
19789,Wildshape - Map Editor + VTT (demo),/app/1543590/,Apr 9 2021,64,64,20,20,69.31%
19790,古剑奇谭网络版 海外版,/app/1541840/,Aug 4 2021,"9,336","3,114","1,275","1,275",69.27%
19791,Waifu Secret 2,/app/1609160/,May 6 2021,580,265,97,97,69.27%
19792,Tomb Rumble,/app/1478050/,Sep 15 2021,174,170,60,60,69.27%
19793,直播经纪人,/app/1739630/,Sep 24 2021,66,72,23,23,69.26%
19794,Bloodshore,/app/1490840/,Nov 3 2021,29,368,138,138,69.24%
19795,Veneficium,/app/1532170/,Mar 12 2021,65,295,109,109,69.24%
19796,Team Tower,/app/1611830/,Sep 10 2021,26,47,14,14,69.24%
19797,Miner Gun Builder,/app/1757680/,Nov 9 2021,15,47,14,14,69.24%
19798,Love Tavern,/app/1354230/,Jul 31 2021,424,455,173,173,69.23%
19799,100 hidden cupcakes,/app/1498310/,Jan 11 2021,4,141,49,49,69.23%
19800,Scrapnaut,/app/1323900/,Sep 15 2021,378,425,161,161,69.22%
19801,堕落千金—黑蔷薇与欲望之火,/app/1546010/,May 29 2021,368,845,332,332,69.20%
19802,Shwip,/app/349710/,Aug 4 2021,5,4,0,0,69.20%
19803,Exo,/app/696630/,Jun 16 2021,2,4,0,0,69.20%
19804,HOLY COW! Milking Simulator,/app/841110/,Dec 2 2021,5,4,0,0,69.20%
19805,MekaFighters,/app/958670/,Jul 13 2021,4,4,0,0,69.20%
19806,Beard of Stone,/app/989380/,Dec 10 2021,4,4,0,0,69.20%
19807,Magnesium_173,/app/1157200/,Aug 19 2021,2,4,0,0,69.20%
19808,Wolfie's Break Out,/app/1251090/,Sep 21 2021,1,4,0,0,69.20%
19809,Woody Chopper,/app/1281690/,Aug 16 2021,3,4,0,0,69.20%
19810,Adriatic Pizza,/app/1295990/,May 28 2021,3,4,0,0,69.20%
19811,Mark One,/app/1298130/,Feb 17 2021,2,4,0,0,69.20%
19812,Orb Overload,/app/1308150/,Feb 26 2021,3,4,0,0,69.20%
19813,Raider Bots,/app/1329270/,Jul 23 2021,2,4,0,0,69.20%
19814,The Majesti,/app/1373990/,Oct 7 2021,2,4,0,0,69.20%
19815,シーフガールズカルテット,/app/1388740/,Feb 3 2021,4,4,0,0,69.20%
19816,Running Challenge,/app/1389780/,Dec 23 2021,1,4,0,0,69.20%
19817,Manalith,/app/1408810/,Jan 29 2021,2,4,0,0,69.20%
19818,Modulo,/app/1416770/,Jan 23 2021,3,4,0,0,69.20%
19819,In It Together,/app/1440330/,Jan 28 2021,3,4,0,0,69.20%
19820,Grub Gauntlet,/app/1446560/,Dec 8 2021,2,4,0,0,69.20%
19821,Temple Hunters,/app/1459250/,Jul 21 2021,2,4,0,0,69.20%
19822,Cosmoscope,/app/1460260/,Jul 20 2021,1,4,0,0,69.20%
19823,Gun Mage,/app/1465310/,Dec 29 2021,4,4,0,0,69.20%
19824,Orbiterrion,/app/1466110/,Apr 15 2021,3,4,0,0,69.20%
19825,Escape from Covid,/app/1466530/,Dec 20 2021,3,4,0,0,69.20%
19826,Soviet Arcade Machine Basketball,/app/1475700/,Feb 2 2021,3,4,0,0,69.20%
19827,Puff Puff The Magic Pipe,/app/1477250/,Apr 20 2021,2,4,0,0,69.20%
19828,Fizik,/app/1478480/,Jan 12 2021,3,4,0,0,69.20%
19829,The Astronomy Game,/app/1481160/,Jan 12 2021,1,4,0,0,69.20%
19830,Atomic Guardians,/app/1482740/,Feb 12 2021,3,4,0,0,69.20%
19831,Twinstick Arcade,/app/1488150/,Jul 16 2021,1,4,0,0,69.20%
19832,Cyber Dodge,/app/1490030/,Feb 14 2021,4,4,0,0,69.20%
19833,Content Creator's Internet Adventure,/app/1490330/,Oct 15 2021,2,4,0,0,69.20%
19834,Fairytale Mosaics Beauty And The Beast 2,/app/1495110/,Jan 4 2021,4,4,0,0,69.20%
19835,Fairytale Mosaics Cinderella 2,/app/1495120/,Jan 4 2021,4,4,0,0,69.20%
19836,Centrifugal,/app/1496210/,Feb 11 2021,2,4,0,0,69.20%
19837,Retro Classix: SRD - Super Real Darwin,/app/1499400/,Mar 2 2021,3,4,0,0,69.20%
19838,Road To Adventure!,/app/1499980/,Apr 11 2021,3,4,0,0,69.20%
19839,Yeminj,/app/1500480/,Jan 5 2021,2,4,0,0,69.20%
19840,Hexacore,/app/1505840/,Feb 23 2021,2,4,0,0,69.20%
19841,Meat Lead Fire,/app/1508230/,Jan 26 2021,2,4,0,0,69.20%
19842,As Fast As Possible,/app/1512350/,Mar 22 2021,2,4,0,0,69.20%
19843,Reek N' Havok,/app/1514430/,Feb 16 2021,2,4,0,0,69.20%
19844,RC Airplane Challenge,/app/1516610/,Dec 30 2021,6,4,0,0,69.20%
19845,Astrokicker,/app/1517770/,Jan 29 2021,2,4,0,0,69.20%
19846,EPEJSODION Lodge,/app/1519530/,Jul 30 2021,3,4,0,0,69.20%
19847,Skullbangers!,/app/1519880/,May 15 2021,7,4,0,0,69.20%
19848,Casual Commando,/app/1520830/,Feb 8 2021,14,4,0,0,69.20%
19849,LightWave,/app/1521820/,Feb 24 2021,5,4,0,0,69.20%
19850,MessiahEnd Refrain,/app/1522040/,Jan 29 2021,3,4,0,0,69.20%
19851,Dual Cars,/app/1524580/,Jan 29 2021,2,4,0,0,69.20%
19852,Pit of Ascension,/app/1528980/,Feb 19 2021,2,4,0,0,69.20%
19853,Rubicon : a conspiracy of silence ,/app/1531930/,Oct 20 2021,3,4,0,0,69.20%
19854,Swiss Alps Jigsaw Puzzles,/app/1533980/,Feb 13 2021,2,4,0,0,69.20%
19855,The Curse of Illmoore Bay,/app/1535880/,Feb 17 2021,2,4,0,0,69.20%
19856,FIREFIGHTER,/app/1536190/,Jul 9 2021,2,4,0,0,69.20%
19857,Smart Moves 2,/app/1537850/,Apr 6 2021,2,4,0,0,69.20%
19858,Charlie The Roach,/app/1539360/,Mar 5 2021,2,4,0,0,69.20%
19859,Cats In Space,/app/1539870/,Feb 17 2021,2,4,0,0,69.20%
19860,Hack Jump,/app/1540550/,Mar 26 2021,1,4,0,0,69.20%
19861,Intergalactic Rescue,/app/1541590/,May 12 2021,1,4,0,0,69.20%
19862,Red Man 1,/app/1542930/,Jun 29 2021,1,4,0,0,69.20%
19863,Herman Electro,/app/1545880/,Jun 11 2021,4,4,0,0,69.20%
19864,Present Danger,/app/1547480/,Jul 26 2021,1,4,0,0,69.20%
19865,Quick Packer 2,/app/1549130/,Apr 18 2021,3,4,0,0,69.20%
19866,Too Many Zombies!,/app/1551770/,Oct 27 2021,5,4,0,0,69.20%
19867,Binger Ninja,/app/1557300/,Apr 7 2021,3,4,0,0,69.20%
19868,A Snake In A Maze,/app/1560050/,May 5 2021,2,4,0,0,69.20%
19869,重叠·前夜谭：猫与少女,/app/1560400/,Mar 20 2021,3,4,0,0,69.20%
19870,子非猫,/app/1561500/,Apr 15 2021,1,4,0,0,69.20%
19871,CLOSED HANDS,/app/1564010/,Oct 4 2021,2,4,0,0,69.20%
19872,Adam The Storyteller,/app/1564130/,Jun 24 2021,2,4,0,0,69.20%
19873,Doge to the Moon,/app/1565630/,Mar 19 2021,2,4,0,0,69.20%
19874,Scaper Dash,/app/1565780/,May 12 2021,1,4,0,0,69.20%
19875,Castle Itter,/app/1568240/,Apr 30 2021,4,4,0,0,69.20%
19876,Terra Earth,/app/1568260/,May 12 2021,1,4,0,0,69.20%
19877,Choco Pixel X,/app/1569990/,Mar 18 2021,2,4,0,0,69.20%
19878,Universe 25,/app/1570620/,Sep 20 2021,3,4,0,0,69.20%
19879,Gun Game,/app/1571750/,Jul 27 2021,3,4,0,0,69.20%
19880,Robin: Race!,/app/1575270/,Mar 30 2021,3,4,0,0,69.20%
19881,In the Wild,/app/1575380/,Nov 2 2021,3,4,0,0,69.20%
19882,SUPER METBOY!,/app/1576990/,Apr 21 2021,5,4,0,0,69.20%
19883,The Black Hole,/app/1577350/,May 31 2021,1,4,0,0,69.20%
19884,The Five Covens,/app/1581670/,Nov 17 2021,2,4,0,0,69.20%
19885,BURNT ASHES,/app/1583450/,Apr 14 2021,1,4,0,0,69.20%
19886,Stellar Raid,/app/1585340/,Sep 1 2021,2,4,0,0,69.20%
19887,Dwarves: build and survive,/app/1585750/,Aug 18 2021,1,4,0,0,69.20%
19888,Akyrikon VR,/app/1588590/,May 5 2021,1,4,0,0,69.20%
19889,Calculate It!,/app/1589440/,Aug 2 2021,3,4,0,0,69.20%
19890,Before Began 开始之前,/app/1590500/,Apr 29 2021,6,4,0,0,69.20%
19891,Experience the Energy: Take the Challenge,/app/1591190/,May 3 2021,1,4,0,0,69.20%
19892,Wednesday Basketball,/app/1591850/,Nov 30 2021,2,4,0,0,69.20%
19893,Marcella Moon: Curse of the Black Cat,/app/1592420/,Oct 1 2021,3,4,0,0,69.20%
19894,Sam & MaRU,/app/1595540/,Aug 5 2021,2,4,0,0,69.20%
19895,Through Rust We Are Returned,/app/1596130/,May 14 2021,5,4,0,0,69.20%
19896,Larger Than Light,/app/1597650/,May 29 2021,1,4,0,0,69.20%
19897,MINICHEF,/app/1600620/,May 12 2021,2,4,0,0,69.20%
19898,Cosmophage,/app/1600700/,May 7 2021,2,4,0,0,69.20%
19899,MONSTER SLAYER,/app/1600980/,Jun 24 2021,1,4,0,0,69.20%
19900,Rescue Rover Collection,/app/1601890/,May 7 2021,3,4,0,0,69.20%
19901,Uniboom-War of Unicorns,/app/1607450/,May 7 2021,2,4,0,0,69.20%
19902,Endless Zombie Tower,/app/1607770/,Dec 17 2021,2,4,0,0,69.20%
19903,Everpixel Tactics,/app/1608780/,Sep 17 2021,4,4,0,0,69.20%
19904,Beat Boy,/app/1608940/,Jun 9 2021,2,4,0,0,69.20%
19905,Hexio,/app/1615470/,Sep 6 2021,4,4,0,0,69.20%
19906,Yupi,/app/1619890/,May 31 2021,2,4,0,0,69.20%
19907,Mortal and Monster,/app/1620070/,Jun 22 2021,2,4,0,0,69.20%
19908,The Witch's Maze,/app/1623640/,May 26 2021,2,4,0,0,69.20%
19909,Mystery Solitaire Powerful Alchemist,/app/1624870/,Jun 9 2021,6,4,0,0,69.20%
19910,Gazmatera: Return Of The Generals,/app/1629150/,Jun 21 2021,2,4,0,0,69.20%
19911,Stinky Feet: The adventure of BigFoot,/app/1629650/,Dec 17 2021,3,4,0,0,69.20%
