,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
222,222,Rising Front,/app/1560250/,Casual (4),"Action (1), Casual (4), Simulation (28), Strategy (2), Early Access (70)",Sandstorm Studios Inc.,Sandstorm Studios Inc.,"Engine.Unity, SDK.SteamworksNET, SDK.UnityBurst",14 February 2023 – 23:28:13 UTC (2 months ago) (1676417293),88,36,51,663,2023-01-14T20:10:04+00:00
223,223,West Hunt,/app/1570330/,Casual (4),"Casual (4), Indie (23)",Wandering Wizard,NewGen,"Engine.Unity, SDK.Discord, SDK.Photon, SDK.UnityURP, SDK.cURL",22 March 2023 – 16:05:17 UTC (24 days ago) (1679501117),88,78,123,449,2022-10-02T20:20:05+00:00
224,224,Zombie Admin,/app/1143860/,Action (1),"Action (1), Indie (23)",Hastily Assembled,Hastily Assembled,"Engine.Unity, SDK.UnityBurst",17 December 2022 – 09:26:14 UTC (4 months ago) (1671269174),98,1,4,8,2023-01-15T19:30:20+00:00
225,225,My Girlfriend’s Special Place,/app/1961760/,Adventure (25),Adventure (25),Sekai Project,feng,"Engine.KiriKiri, SDK.Vorbis",8 March 2023 – 21:58:40 UTC (last month) (1678312720),98,1,3,15,2023-03-14T15:20:16+00:00
226,226,A War of a Madman's Making,/app/1985710/,Indie (23),"Adventure (25), Indie (23), Early Access (70)",Witching Metal Prod.,Witching Metal Prod.,Engine.RenPy,15 January 2023 – 03:28:37 UTC (3 months ago) (1673753317),97,0,1,10,2023-01-18T18:20:18+00:00
227,227,Helpless,/app/2290490/,Casual (4),"Adventure (25), Casual (4), Free to Play (37)",CNM,Bonne Journée Studio,"Engine.Unreal, SDK.Intel_OID, SDK.NVIDIA_APEX, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.Wwise, SDK.XAudio2, SDK.iZotope",3 March 2023 – 01:57:23 UTC (last month) (1677808643),93,3,7,34,2023-03-13T14:10:13+00:00
228,228,Siege of Dungeon,/app/1972410/,Early Access (70),"Adventure (25), RPG (3), Strategy (2), Early Access (70)",firepillar2,Binary Tree Studio,"Engine.Unity, SDK.SteamworksNET, SDK.UnityBurst, SDK.cURL",16 January 2023 – 15:32:52 UTC (3 months ago) (1673883172),91,12,24,95,2023-01-18T14:40:08+00:00
229,229,GunSuit Guardians,/app/2278830/,Action (1),"Action (1), Casual (4), Indie (23), RPG (3), Early Access (70)",Matt Glanville,Matt Glanville,"Engine.Unity, SDK.SteamworksNET, SDK.UnityBurst, SDK.cURL",31 March 2023 – 15:36:31 UTC (15 days ago) (1680276991),97,25,37,85,2023-04-06T19:10:09+00:00
230,230,Diary of Lucie,/app/1454010/,Indie (23),"Action (1), Adventure (25), Indie (23), RPG (3), Strategy (2)",Parange Project,Parange Project,"Engine.RPGMaker, SDK.Greenworks, SDK.NWJS, SDK.NodeJS",1 March 2023 – 08:50:38 UTC (2 months ago) (1677660638),90,22,35,156,2023-03-06T14:20:07+00:00
231,231,MINDHACK,/app/1727210/,Adventure (25),"Adventure (25), Indie (23), Early Access (70)",VODKAdemo?,VODKAdemo?,,13 April 2023 – 08:06:06 UTC (2 days ago) (1681373166),98,36,42,195,2023-04-06T13:10:05+00:00
232,232,Phantom Tentacle,/app/1990260/,Adventure (25),"Adventure (25), RPG (3)",LSP GAME,LSP GAME,"Engine.Unity, SDK.UnityURP",3 July 2022 – 02:31:07 UTC (10 months ago) (1656815467),89,1,3,19,2022-07-15T15:40:14+00:00
233,233,TitTok Kitty,/app/2010320/,Indie (23),"Casual (4), Indie (23)",Siberian Mouse,Siberian Mouse,Engine.GameMaker,11 January 2023 – 13:45:12 UTC (3 months ago) (1673444712),100,0,1,6,2023-02-14T17:30:19+00:00
234,234,Ghostland Yard,/app/2051130/,Indie (23),"Indie (23), Early Access (70)",Obelisk Studio,Obelisk Studio,,6 April 2023 – 14:25:08 UTC (9 days ago) (1680791108),100,2,2,16,2023-03-28T18:20:18+00:00
235,235,Interior Worlds,/app/2207970/,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Raptorsoft Games,sodaraptor,,4 April 2023 – 02:40:39 UTC (12 days ago) (1680576039),100,9,11,35,2023-04-08T22:00:13+00:00
236,236,I commissioned some bunnies,/app/2250340/,Casual (4),"Casual (4), Indie (23)",Follow The Fun,Follow The Fun,,30 January 2023 – 19:05:35 UTC (3 months ago) (1675105535),100,1,3,11,2023-01-28T11:50:16+00:00
