,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
2120,2120,Pirate Code,/app/370120/,Strategy (2),"Adventure (25), Indie (23), RPG (3), Strategy (2)",Circuit Hive,Circuit Hive,"Engine.Torque, SDK.OpenAL",9 November 2021 – 16:56:24 UTC (2 years ago) (1636476984),88.0,0,0,23,2018-07-22T06:50:14+00:00
2121,2121,In Dungeon,/app/670280/,Indie (23),"Adventure (25), Casual (4), Indie (23)",Balder Game Studio,Balder Game Studio,Engine.GameMaker,15 May 2020 – 01:30:59 UTC (3 years ago) (1589506259),83.0,0,0,3,2018-06-29T02:00:36+00:00
2122,2122,午餐13,/app/702790/,RPG (3),RPG (3),quanhome,quanhome,Engine.RPGMaker,29 May 2018 – 16:17:42 UTC (5 years ago) (1527610662),88.0,0,0,2,2018-06-15T04:40:27+00:00
2123,2123,Icarus Six Sixty Six,/app/724910/,Casual (4),Casual (4),Titmouse,Titmouse,"Engine.Unity, SDK.OpenVR",31 December 2017 – 22:10:02 UTC (5 years ago) (1514758202),88.0,0,0,4,2018-01-06T13:10:41+00:00
2124,2124,Bleeding Knife,/app/788520/,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",Abdulla Hassan Al-Farsi,Abdulla Hassan Al-Farsi,"Engine.RPGMaker, SDK.NWJS",17 September 2019 – 15:26:42 UTC (4 years ago) (1568734002),88.0,0,0,2,2018-03-10T07:00:26+00:00
2125,2125,CyberRebeat -The Fifth Domain of Warfare-,/app/825320/,Indie (23),"Casual (4), Indie (23)",Sekai Project,E.N.Nach,Engine.Unity,5 September 2019 – 17:33:46 UTC (4 years ago) (1567704826),88.0,0,1,6,2021-07-16T11:20:15+00:00
2126,2126,KeyBoard Guitar Master,/app/831260/,Casual (4),"Casual (4), Indie (23)",Headbang Studio,Headbang Studio,Engine.Unity,1 November 2019 – 04:00:01 UTC (4 years ago) (1572580801),88.0,0,1,3,2021-02-25T04:51:11+00:00
2127,2127,Nobunaga's Shadow,/app/868930/,RPG (3),RPG (3),Ultaan Games,Ultaan Games,"Engine.RPGMaker, SDK.NWJS",28 October 2022 – 21:02:51 UTC (6 months ago) (1666990971),88.0,0,0,3,2018-06-20T21:00:31+00:00
2128,2128,Second Hazardous Course,/app/896070/,Adventure (25),"Action (1), Adventure (25), Indie (23)",Team Lambda,Team Lambda,"SDK.NWJS, SDK.NodeJS",24 September 2019 – 15:59:05 UTC (4 years ago) (1569340745),88.0,0,0,4,2018-07-26T11:20:25+00:00
2129,2129,Space Maze,/app/908180/,Racing (9),"Action (1), Casual (4), Indie (23), Racing (9), Simulation (28)",Redox Entertainment Inc,Redox Entertainment Inc,"Engine.Unity, SDK.OpenVR",24 April 2020 – 20:00:19 UTC (3 years ago) (1587758419),88.0,0,0,3,2018-11-08T12:00:25+00:00
2130,2130,Axe Throw VR,/app/928370/,Casual (4),"Action (1), Casual (4), Sports (18)",Tea Monster Games,Tea Monster Games,"Engine.Unity, SDK.OpenVR",24 October 2018 – 00:00:08 UTC (5 years ago) (1540339208),88.0,0,0,5,2020-01-27T16:30:09+00:00
2131,2131,TapSonic World Champion VR,/app/837640/,Early Access (70),"Action (1), Casual (4), Early Access (70)",NEOWIZ,NEOWIZ,"Engine.Unity, SDK.OculusXRPlugin, SDK.OpenVR",14 August 2018 – 07:51:17 UTC (5 years ago) (1534233077),81.0,0,0,8,2018-06-15T00:00:00+00:00
